FMC_pin  FMC_port        Schematic_name    System_top_name  IOSTANDARD   Termination
A2       DP1_M2C_P       #                 #                #            #
A3       DP1_M2C_N       #                 #                #            #
A6       DP2_M2C_P       #                 #                #            #
A7       DP2_M2C_N       #                 #                #            #
A10      DP3_M2C_P       #                 #                #            #
A11      DP3_M2C_N       #                 #                #            #
A14      DP4_M2C_P       #                 #                #            #
A15      DP4_M2C_N       #                 #                #            #
A18      DP5_M2C_P       #                 #                #            #
A19      DP5_M2C_N       #                 #                #            #
A22      DP1_C2M_P       #                 #                #            #
A23      DP1_C2M_N       #                 #                #            #
A26      DP2_C2M_P       #                 #                #            #
A27      DP2_C2M_N       #                 #                #            #
A30      DP3_C2M_P       #                 #                #            #
A31      DP3_C2M_N       #                 #                #            #
A34      DP4_C2M_P       #                 #                #            #
A35      DP4_C2M_N       #                 #                #            #
A38      DP5_C2M_P       #                 #                #            #
A39      DP5_C2M_N       #                 #                #            #
B1       CLK_DIR         #                 #                #            #
B4       DP9_M2C_P       #                 #                #            #
B5       DP9_M2C_N       #                 #                #            #
B8       DP8_M2C_P       #                 #                #            #
B9       DP8_M2C_N       #                 #                #            #
B12      DP7_M2C_P       #                 #                #            #
B13      DP7_M2C_N       #                 #                #            #
B16      DP6_M2C_P       #                 #                #            #
B17      DP6_M2C_N       #                 #                #            #
B20      GBTCLK1_M2C_P   #                 #                #            #
B21      GBTCLK1_M2C_N   #                 #                #            #
B24      DP9_C2M_P       #                 #                #            #
B25      DP9_C2M_N       #                 #                #            #
B28      DP8_C2M_P       #                 #                #            #
B29      DP8_C2M_N       #                 #                #            #
B32      DP7_C2M_P       #                 #                #            #
B33      DP7_C2M_N       #                 #                #            #
B36      DP6_C2M_P       #                 #                #            #
B37      DP6_C2M_N       #                 #                #            #
B40      RES0            #                 #                #            #
C2       DP0_C2M_P       #                 #                #            #
C3       DP0_C2M_N       #                 #                #            #
C6       DP0_M2C_P       #                 #                #            #
C7       DP0_M2C_N       #                 #                #            #
C10      LA06_P          #                 #                #            #
C11      LA06_N          #                 #                #            #
C14      LA10_P          #                 #                #            #
C15      LA10_N          #                 #                #            #
C18      LA14_P          #                 #                #            #
C19      LA14_N          #                 #                #            #
C22      LA18_P_CC       #                 #                #            #
C23      LA18_N_CC       #                 #                #            #
C26      LA27_P          #                 #                #            #
C27      LA27_N          #                 #                #            #
C30      SCL             #                 #                #            #
C31      SDA             #                 #                #            #
C34      GA0             #                 #                #            #
D1       PG_C2M          #                 #                #            #
D4       GBTCLK0_M2C_P   #                 #                #            #
D5       GBTCLK0_M2C_N   #                 #                #            #
D8       LA01_P_CC       #                 #                #            #
D9       LA01_N_CC       #                 #                #            #
D11      LA05_P          #                 #                #            #
D12      LA05_N          #                 #                #            #
D14      LA09_P          #                 #                #            #
D15      LA09_N          #                 #                #            #
D17      LA13_P          #                 #                #            #
D18      LA13_N          #                 #                #            #
D20      LA17_P_CC       #                 #                #            #
D21      LA17_N_CC       #                 #                #            #
D23      LA23_P          #                 #                #            #
D24      LA23_N          #                 #                #            #
D26      LA26_P          #                 #                #            #
D27      LA26_N          #                 #                #            #
D29      TCK             #                 #                #            #
D30      TDI             #                 #                #            #
D31      TDO             #                 #                #            #
D32      3P3VAUX         #                 #                #            #
D33      TMS             #                 #                #            #
D34      TRST_L          #                 #                #            #
D35      GA1             #                 #                #            #
E2       HA01_P_CC       #                 #                #            #
E3       HA01_N_CC       #                 #                #            #
E6       HA05_P          #                 #                #            #
E7       HA05_N          #                 #                #            #
E9       HA09_P          #                 #                #            #
E10      HA09_N          #                 #                #            #
E12      HA13_P          #                 #                #            #
E13      HA13_N          #                 #                #            #
E15      HA16_P          #                 #                #            #
E16      HA16_N          #                 #                #            #
E18      HA20_P          #                 #                #            #
E19      HA20_N          #                 #                #            #
