# Mode M L S F HD N NP
AD9135
8  1 4 2 1 1 16 16
9  1 2 1 1 1 16 16
10 1 1 1 2 0 16 16
11 2 8 2 1 1 16 16
12 2 4 1 1 1 16 16
13 2 2 1 2 0 16 16

AD9136
8  1 4 2 1 1 16 16
9  1 2 1 1 1 16 16
10 1 1 1 2 0 16 16
11 2 8 2 1 1 16 16
12 2 4 1 1 1 16 16
13 2 2 1 2 0 16 16

AD9144
0  4 8 1 1 1 16 16
1  4 8 2 2 0 16 16
2  4 4 1 2 0 16 16
3  4 2 1 4 0 16 16
4  2 4 1 1 1 16 16
5  2 4 2 2 0 16 16
6  2 2 1 2 0 16 16
7  2 1 1 4 0 16 16
9  1 2 1 1 1 16 16
10 1 1 1 2 0 16 16

AD9152
4  2 4 1 1 1 16 16
5  2 4 2 2 0 16 16
6  2 2 1 2 0 16 16
7  2 1 1 4 0 16 16
9  1 2 1 1 1 16 16
10 1 1 1 2 0 16 16

AD9154
0  4 8 1 1 1 16 16
1  4 8 2 2 0 16 16
2  4 4 1 2 0 16 16
3  4 2 1 4 0 16 16
4  2 4 1 1 1 16 16
5  2 4 2 2 0 16 16
6  2 2 1 2 0 16 16
7  2 1 1 4 0 16 16
9  1 2 1 1 1 16 16
10 1 1 1 2 0 16 16

AD9171
0  2 1 1 4 1 16 16
3  2 2 1 2 1 16 16
5  2 1 1 3 1 12 12

AD9172
0  2 1 1 4 1 16 16
1  4 2 1 4 1 16 16
2  6 3 1 4 1 16 16
3  2 2 1 2 1 16 16
4  4 4 1 2 1 16 16
5  2 1 1 3 1 12 12
6  4 2 1 3 1 12 12
7  4 1 1 8 1 16 16
8  2 4 1 1 1 16 16
9  2 4 2 2 1 16 16
10 2 8 2 1 1 16 16
11 2 8 4 2 1 16 16
12 2 8 8 3 1 12 12
18 1 4 2 1 1 16 16
19 1 4 4 2 1 16 16
20 1 8 4 1 1 16 16
21 1 8 8 2 1 16 16

AD9173
0  2 1 1 4 1 16 16
1  4 2 1 4 1 16 16
2  6 3 1 4 1 16 16
3  2 2 1 2 1 16 16
4  4 4 1 2 1 16 16
5  2 1 1 3 1 12 12
6  4 2 1 3 1 12 12
7  4 1 1 8 1 16 16
8  2 4 1 1 1 16 16
9  2 4 2 2 1 16 16
13 2 4 1 1 1 11 16
14 2 4 2 2 1 11 16
15 2 8 2 1 1 11 16
16 2 8 4 2 1 11 16
17 2 8 8 3 1 11 12
