# ad9081

FMC_pin   FMC_port       Schematic_name     System_top_name     IOSTANDARD  Termination

A6        DP2_M2C_P      FPGA_SERDIN_P<0>   rx_data_p[2]        #N/A        #N/A
A7        DP2_M2C_N      FPGA_SERDIN_N<0>   rx_data_n[2]        #N/A        #N/A
C6        DP0_M2C_P      FPGA_SERDIN_P<1>   rx_data_p[0]        #N/A        #N/A
C7        DP0_M2C_N      FPGA_SERDIN_N<1>   rx_data_n[0]        #N/A        #N/A
B12       DP7_M2C_P      FPGA_SERDIN_P<2>   rx_data_p[7]        #N/A        #N/A
B13       DP7_M2C_N      FPGA_SERDIN_N<2>   rx_data_n[7]        #N/A        #N/A
B16       DP6_M2C_P      FPGA_SERDIN_P<3>   rx_data_p[6]        #N/A        #N/A
B17       DP6_M2C_N      FPGA_SERDIN_N<3>   rx_data_n[6]        #N/A        #N/A
A18       DP5_M2C_P      FPGA_SERDIN_P<4>   rx_data_p[5]        #N/A        #N/A
A19       DP5_M2C_N      FPGA_SERDIN_N<4>   rx_data_n[5]        #N/A        #N/A
A14       DP4_M2C_P      FPGA_SERDIN_P<5>   rx_data_p[4]        #N/A        #N/A
A15       DP4_M2C_N      FPGA_SERDIN_N<5>   rx_data_n[4]        #N/A        #N/A
A10       DP3_M2C_P      FPGA_SERDIN_P<6>   rx_data_p[3]        #N/A        #N/A
A11       DP3_M2C_N      FPGA_SERDIN_N<6>   rx_data_n[3]        #N/A        #N/A
A2        DP1_M2C_P      FPGA_SERDIN_P<7>   rx_data_p[1]        #N/A        #N/A
A3        DP1_M2C_N      FPGA_SERDIN_N<7>   rx_data_n[1]        #N/A        #N/A
C2        DP0_C2M_P      FPGA_SERDOUT_P<0>  tx_data_p[0]        #N/A        #N/A
C3        DP0_C2M_N      FPGA_SERDOUT_N<0>  tx_data_n[0]        #N/A        #N/A
A26       DP2_C2M_P      FPGA_SERDOUT_P<1>  tx_data_p[2]        #N/A        #N/A
A27       DP2_C2M_N      FPGA_SERDOUT_N<1>  tx_data_n[2]        #N/A        #N/A
B32       DP7_C2M_P      FPGA_SERDOUT_P<2>  tx_data_p[7]        #N/A        #N/A
B33       DP7_C2M_N      FPGA_SERDOUT_N<2>  tx_data_n[7]        #N/A        #N/A
B36       DP6_C2M_P      FPGA_SERDOUT_P<3>  tx_data_p[6]        #N/A        #N/A
B37       DP6_C2M_N      FPGA_SERDOUT_N<3>  tx_data_n[6]        #N/A        #N/A
A22       DP1_C2M_P      FPGA_SERDOUT_P<4>  tx_data_p[1]        #N/A        #N/A
A23       DP1_C2M_N      FPGA_SERDOUT_N<4>  tx_data_n[1]        #N/A        #N/A
A38       DP5_C2M_P      FPGA_SERDOUT_P<5>  tx_data_p[5]        #N/A        #N/A
A39       DP5_C2M_N      FPGA_SERDOUT_N<5>  tx_data_n[5]        #N/A        #N/A
A34       DP4_C2M_P      FPGA_SERDOUT_P<6>  tx_data_p[4]        #N/A        #N/A
A35       DP4_C2M_N      FPGA_SERDOUT_N<6>  tx_data_n[4]        #N/A        #N/A
A30       DP3_C2M_P      FPGA_SERDOUT_P<7>  tx_data_p[3]        #N/A        #N/A
A31       DP3_C2M_N      FPGA_SERDOUT_N<7>  tx_data_n[3]        #N/A        #N/A

H7        LA02_P         FPGA_SYNCIN_P<0>   fpga_syncin_0_p     LVDS15      DIFF_TERM_ADV TERM_100
H8        LA02_N         FPGA_SYNCIN_N<0>   fpga_syncin_0_n     LVDS15      DIFF_TERM_ADV TERM_100
G9        LA03_P         FPGA_SYNCIN_P<1>   fpga_syncin_1_p     LVCMOS15    #N/A
G10       LA03_N         FPGA_SYNCIN_N<1>   fpga_syncin_1_n     LVCMOS15    #N/A
D8        LA01_P_CC      FPGA_SYNCOUT_P<0>  fpga_syncout_0_p    LVDS15      #N/A
D9        LA01_N_CC      FPGA_SYNCOUT_N<0>  fpga_syncout_0_n    LVDS15      #N/A
