FMC_pin  FMC_port        Schematic_name    System_top_name          IOSTANDARD   Termination

# quad mxfe

D4       GBTCLK0_M2C_P   #N/A              fpga_clk_m2c_0_replica_p #N/A         #N/A
D5       GBTCLK0_M2C_N   #N/A              fpga_clk_m2c_0_replica_n #N/A         #N/A
D4       GBTCLK0_M2C_P   #N/A              fpga_clk_m2c_p[0]        #N/A         #N/A
D5       GBTCLK0_M2C_N   #N/A              fpga_clk_m2c_n[0]        #N/A         #N/A
D20      LA17_P_CC       #N/A              fpga_clk_m2c_p[1]        LVDS         DIFF_TERM TRUE
D21      LA17_N_CC       #N/A              fpga_clk_m2c_n[1]        LVDS         DIFF_TERM TRUE
H4       CLK0_M2C_P      #N/A              fpga_clk_m2c_p[2]        LVDS         DIFF_TERM TRUE
H5       CLK0_M2C_N      #N/A              fpga_clk_m2c_n[2]        LVDS         DIFF_TERM TRUE

G2       CLK1_M2C_P      #N/A              fpga_sysref_m2c_p        LVDS         DIFF_TERM TRUE
G3       CLK1_M2C_N      #N/A              fpga_sysref_m2c_n        LVDS         DIFF_TERM TRUE
G6       LA00_P_CC       #N/A              fpga_sysref_c2m_p        LVDS         #N/A
G7       LA00_N_CC       #N/A              fpga_sysref_c2m_n        LVDS         #N/A

A38      DP5_C2M_P       #N/A              c2m_p[0]                 #N/A         #N/A
A39      DP5_C2M_N       #N/A              c2m_n[0]                 #N/A         #N/A
Z28      DP12_C2M_P      #N/A              c2m_p[1]                 #N/A         #N/A
Z29      DP12_C2M_N      #N/A              c2m_n[1]                 #N/A         #N/A
Y30      DP13_C2M_P      #N/A              c2m_p[2]                 #N/A         #N/A
Y31      DP13_C2M_N      #N/A              c2m_n[2]                 #N/A         #N/A
Y26      DP11_C2M_P      #N/A              c2m_p[3]                 #N/A         #N/A
Y27      DP11_C2M_N      #N/A              c2m_n[3]                 #N/A         #N/A
A30      DP3_C2M_P       #N/A              c2m_p[4]                 #N/A         #N/A
A31      DP3_C2M_N       #N/A              c2m_n[4]                 #N/A         #N/A
B32      DP7_C2M_P       #N/A              c2m_p[5]                 #N/A         #N/A
B33      DP7_C2M_N       #N/A              c2m_n[5]                 #N/A         #N/A
A34      DP4_C2M_P       #N/A              c2m_p[6]                 #N/A         #N/A
A35      DP4_C2M_N       #N/A              c2m_n[6]                 #N/A         #N/A
B36      DP6_C2M_P       #N/A              c2m_p[7]                 #N/A         #N/A
B37      DP6_C2M_N       #N/A              c2m_n[7]                 #N/A         #N/A
Z24      DP10_C2M_P      #N/A              c2m_p[8]                 #N/A         #N/A
Z25      DP10_C2M_N      #N/A              c2m_n[8]                 #N/A         #N/A
B24      DP9_C2M_P       #N/A              c2m_p[9]                 #N/A         #N/A
B25      DP9_C2M_N       #N/A              c2m_n[9]                 #N/A         #N/A
A26      DP2_C2M_P       #N/A              c2m_p[10]                #N/A         #N/A
A27      DP2_C2M_N       #N/A              c2m_n[10]                #N/A         #N/A
B28      DP8_C2M_P       #N/A              c2m_p[11]                #N/A         #N/A
