FMC_pin    FMC_port      Schematic_name     System_top_name     IOSTANDARD Termination

#adrv9026

D4         GBTCLK0_M2C_P FPGA_REF_CLK+      ref_clk_p           #N/A       #N/A
D5         GBTCLK0_M2C_N FPGA_REF_CLK-      ref_clk_n           #N/A       #N/A
H4         CLK0_M2C_P    FPGA_MMCM_CLK+     core_clk_p          LVDS       #N/A
H5         CLK0_M2C_N    FPGA_MMCM_CLK-     core_clk_n          LVDS       #N/A

A2         DP1_M2C_P     SERDOUTA-          rx_data_p[0]        #N/A       #N/A
A3         DP1_M2C_N     SERDOUTA+          rx_data_n[0]        #N/A       #N/A
C6         DP0_M2C_P     SERDOUTB-          rx_data_p[1]        #N/A       #N/A
C7         DP0_M2C_N     SERDOUTB+          rx_data_n[1]        #N/A       #N/A
A6         DP2_M2C_P     SERDOUTC-          rx_data_p[2]        #N/A       #N/A
A7         DP2_M2C_N     SERDOUTC+          rx_data_n[2]        #N/A       #N/A
A10        DP3_M2C_P     SERDOUTD-          rx_data_p[3]        #N/A       #N/A
A11        DP3_M2C_N     SERDOUTD+          rx_data_n[3]        #N/A       #N/A

A22        DP1_C2M_P     SERDINC+           tx_data_p[0]        #N/A       #N/A
A23        DP1_C2M_N     SERDINC-           tx_data_n[0]        #N/A       #N/A
C2         DP0_C2M_P     SERDIND-           tx_data_p[1]        #N/A       #N/A
C3         DP0_C2M_N     SERDIND+           tx_data_n[1]        #N/A       #N/A
A26        DP2_C2M_P     SERDINB-           tx_data_p[2]        #N/A       #N/A
A27        DP2_C2M_N     SERDINB+           tx_data_n[2]        #N/A       #N/A
A30        DP3_C2M_P     SERDINA+           tx_data_p[3]        #N/A       #N/A
A31        DP3_C2M_N     SERDINA-           tx_data_n[3]        #N/A       #N/A

G9         LA03_P        SYNCIN1-           rx_sync_p           LVDS       #N/A
G10        LA03_N        SYNCIN1+           rx_sync_n           LVDS       #N/A
G36        LA33_P        SYNCIN3-           rx_sync_2_p         LVDS       #N/A
G37        LA33_N        SYNCIN3+           rx_sync_2_n         LVDS       #N/A
G27        LA25_P        SYNCIN2-           rx_os_sync_p        LVDS       #N/A
G28        LA25_N        SYNCIN2+           rx_os_sync_n        LVDS       #N/A

G6         LA00_CC_P     FPGA_SYSREF+       sysref_p            LVDS       DIFF_TERM TRUE
G7         LA00_CC_N     FPGA_SYSREF-       sysref_n            LVDS       DIFF_TERM TRUE

H7         LA02_P        SYNCOUT1+          tx_sync_p           LVDS       DIFF_TERM TRUE
H8         LA02_N        SYNCOUT1-          tx_sync_n           LVDS       DIFF_TERM TRUE
H28        LA24_P        SYNCOUT2           tx_sync_1_p         LVDS       DIFF_TERM TRUE
H29        LA24_N        SYNCOUT2           tx_sync_1_n         LVDS       DIFF_TERM TRUE

C26        LA27_P        FMC_CLK_RESETB     ad9528_reset_b      LVCMOS18   #N/A
C27        LA27_N        FMC_SYSREF_REQUEST ad9528_sysref_req   LVCMOS18   #N/A
D11        LA05_P        TEST               adrv9026_test       LVCMOS18   #N/A

C10        LA06_P        ORX_CTRL_A         adrv9026_orx_ctrl_a LVCMOS18   #N/A
C11        LA06_N        ORX_CTRL_B         adrv9026_orx_ctrl_b LVCMOS18   #N/A
D26        LA26_P        ORX_CTRL_C         adrv9026_orx_ctrl_c LVCMOS18   #N/A
C15        LA10_N        ORX_CTRL_D         adrv9026_orx_ctrl_d LVCMOS18   #N/A

D18        LA13_N        RX1_ENABLE         adrv9026_rx1_enable LVCMOS18   #N/A
