FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                       Comments

#N/A    REFCLK_FMCA_N         PIN_AN7   REFCLK_GXBR4C_CHBn                   ON_BOARD_REFCLK_TO_XCVRS
#N/A    REFCLK_FMCA_P         PIN_AN8   REFCLK_GXBR4C_CHBp                   ON_BOARD_REFCLK_TO_XCVRS
#N/A    FMCA_TX_LED           PIN_P12   IO,LVDS3E_4n                         ON_BOARD_LEDS
#N/A    FMCA_RX_LED           PIN_Y10   IO,LVDS3E_17p                        ON_BOARD_LEDS
H4      FMCA_CLK0_M2C_P       PIN_AY20  IO,CLK_3B_0p,LVDS3B_13p              -
H5      FMCA_CLK0_M2C_N       PIN_AY19  IO,CLK_3B_0n,LVDS3B_13n              -
G2      FMCA_CLK1_M2C_P       PIN_BA12  IO,CLK_3C_0p,LVDS3C_13p              -
G3      FMCA_CLK1_M2C_N       PIN_BA13  IO,CLK_3C_0n,LVDS3C_13n              -
B1      FMCA_CLK_DIR          #N/A      #N/A                                 -
K4      FMCA_CLK2_BIDIR_P     PIN_AJ3   GXBR4D_RX_CH4p,GXBR4D_REFCLK4p       -
K5      FMCA_CLK2_BIDIR_N     PIN_AJ4   GXBR4D_RX_CH4n,GXBR4D_REFCLK4n       -
J2      FMCA_CLK3_BIDIR_P     #N/A      #N/A                                 -
J3      FMCA_CLK3_BIDIR_N     #N/A      #N/A                                 -
G6      FMCA_LA00_CC_P        PIN_AV15  IO,CLK_3B_1p,LVDS3B_12p              -
G7      FMCA_LA00_CC_N        PIN_AU15  IO,CLK_3B_1n,LVDS3B_12n              -
D8      FMCA_LA01_CC_P        PIN_AT10  IO,CLK_3C_1p,LVDS3C_12p              -
D9      FMCA_LA01_CC_N        PIN_AR11  IO,CLK_3C_1n,LVDS3C_12n              -
H7      FMCA_LA02_P           PIN_AR22  IO,LVDS3B_24p                        -
H8      FMCA_LA02_N           PIN_AT22  IO,LVDS3B_24n                        -
G9      FMCA_LA03_P           PIN_AR20  IO,LVDS3B_23p                        -
G10     FMCA_LA03_N           PIN_AR19  IO,LVDS3B_23n                        -
H10     FMCA_LA04_P           PIN_AN20  IO,LVDS3B_22p                        -
H11     FMCA_LA04_N           PIN_AP19  IO,LVDS3B_22n                        -
D11     FMCA_LA05_P           PIN_AV11  IO,LVDS3C_5p                         -
D12     FMCA_LA05_N           PIN_AW11  IO,LVDS3C_5n                         -
C10     FMCA_LA06_P           PIN_AV14  IO,LVDS3B_8p                         -
C11     FMCA_LA06_N           PIN_AW14  IO,LVDS3B_8n                         -
H13     FMCA_LA07_P           PIN_AT17  IO,LVDS3B_3p                         -
H14     FMCA_LA07_N           PIN_AU17  IO,LVDS3B_3n                         -
G12     FMCA_LA08_P           PIN_AP18  IO,LVDS3B_21p                        -
G13     FMCA_LA08_N           PIN_AN19  IO,LVDS3B_21n                        -
