FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                       Comments

#N/A    REFCLK_FMCB_N         PIN_AA7   REFCLK_GXBR4F_CHBn                   ON_BOARD_REFCLK_TO_XCVRS
#N/A    REFCLK_FMCB_P         PIN_AA8   REFCLK_GXBR4F_CHBp                   ON_BOARD_REFCLK_TO_XCVRS
#N/A    FMCB_TX_LED           PIN_W11   IO,LVDS3E_24n                        ON_BOARD_LEDS
#N/A    FMCB_RX_LED           PIN_R12   IO,LVDS3E_1p                         ON_BOARD_LEDS
H4      FMCB_CLK0_M2C_P       PIN_J12   IO,CLK_3F_0p,LVDS3F_13p              -
H5      FMCB_CLK0_M2C_N       PIN_K12   IO,CLK_3F_0n,LVDS3F_13n              -
G2      FMCB_CLK1_M2C_P       PIN_F17   IO,CLK_3G_0p,LVDS3G_13p              -
G3      FMCB_CLK1_M2C_N       PIN_G17   IO,CLK_3G_0n,LVDS3G_13n              -
B1      FMCB_CLK_DIR          #N/A      #N/A                                 -
K4      FMCB_CLK2_BIDIR_P     PIN_L3    GXBR4G_RX_CH4p,GXBR4G_REFCLK4p       -
K5      FMCB_CLK2_BIDIR_N     PIN_L4    GXBR4G_RX_CH4n,GXBR4G_REFCLK4n       -
J2      FMCB_CLK3_BIDIR_P     #N/A      #N/A                                 -
J3      FMCB_CLK3_BIDIR_N     #N/A      #N/A                                 -
G6      FMCB_LA00_CC_P        PIN_C11   IO,CLK_3F_1p,LVDS3F_12p              -
G7      FMCB_LA00_CC_N        PIN_C10   IO,CLK_3F_1n,LVDS3F_12n              -
D8      FMCB_LA01_CC_P        PIN_G18   IO,CLK_3G_1p,LVDS3G_12p              -
D9      FMCB_LA01_CC_N        PIN_F18   IO,CLK_3G_1n,LVDS3G_12n              -
H7      FMCB_LA02_P           PIN_A17   IO,LVDS3F_5p                         -
H8      FMCB_LA02_N           PIN_B17   IO,LVDS3F_5n                         -
G9      FMCB_LA03_P           PIN_D17   IO,LVDS3F_1p                         -
G10     FMCB_LA03_N           PIN_D16   IO,LVDS3F_1n                         -
H10     FMCB_LA04_P           PIN_C15   IO,LVDS3F_3p                         -
H11     FMCB_LA04_N           PIN_B15   IO,LVDS3F_3n                         -
D11     FMCB_LA05_P           PIN_J19   IO,LVDS3G_3p                         -
D12     FMCB_LA05_N           PIN_K19   IO,LVDS3G_3n                         -
C10     FMCB_LA06_P           PIN_G21   IO,LVDS3G_8p                         -
C11     FMCB_LA06_N           PIN_H21   IO,LVDS3G_8n                         -
H13     FMCB_LA07_P           PIN_D13   IO,RZQ_3F,LVDS3F_11p                 -
H14     FMCB_LA07_N           PIN_C13   IO,LVDS3F_11n                        -
G12     FMCB_LA08_P           PIN_A13   IO,LVDS3F_7p                         -
G13     FMCB_LA08_N           PIN_B13   IO,LVDS3F_7n                         -
D14     FMCB_LA09_P           PIN_A15   IO,LVDS3F_6p                         -
D15     FMCB_LA09_N           PIN_A14   IO,LVDS3F_6n                         -
C14     FMCB_LA10_P           PIN_A18   IO,LVDS3F_4p                         -
C15     FMCB_LA10_N           PIN_B18   IO,LVDS3F_4n                         -
H16     FMCB_LA11_P           PIN_E11   IO,LVDS3F_21p                        -
H17     FMCB_LA11_N           PIN_E10   IO,LVDS3F_21n                        -
G15     FMCB_LA12_P           PIN_D12   IO,LVDS3F_9p                         -
G16     FMCB_LA12_N           PIN_D11   IO,LVDS3F_9n                         -
D17     FMCB_LA13_P           PIN_B12   IO,LVDS3F_8p                         -
D18     FMCB_LA13_N           PIN_A12   IO,LVDS3F_8n                         -
C18     FMCB_LA14_P           PIN_B16   IO,LVDS3F_2p                         -
C19     FMCB_LA14_N           PIN_C16   IO,LVDS3F_2n                         -
H19     FMCB_LA15_P           PIN_G10   IO,LVDS3F_22p                        -
H20     FMCB_LA15_N           PIN_F10   IO,LVDS3F_22n                        -
G18     FMCB_LA16_P           PIN_E12   IO,LVDS3F_23p                        -
G19     FMCB_LA16_N           PIN_F12   IO,LVDS3F_23n                        -
D20     FMCB_LA17_CC_P        PIN_F13   IO,LVDS3F_19p                        -
D21     FMCB_LA17_CC_N        PIN_G13   IO,LVDS3F_19n                        -
C22     FMCB_LA18_CC_P        PIN_G11   IO,LVDS3F_20p                        -
C23     FMCB_LA18_CC_N        PIN_G12   IO,LVDS3F_20n                        -
H22     FMCB_LA19_P           PIN_H11   IO,LVDS3F_24p                        -
H23     FMCB_LA19_N           PIN_H10   IO,LVDS3F_24n                        -
G21     FMCB_LA20_P           PIN_H20   IO,LVDS3G_7p                         -
G22     FMCB_LA20_N           PIN_G20   IO,LVDS3G_7n                         -
H25     FMCB_LA21_P           PIN_K16   IO,LVDS3G_22p                        -
H26     FMCB_LA21_N           PIN_K17   IO,LVDS3G_22n                        -
G24     FMCB_LA22_P           PIN_H19   IO,LVDS3G_9p                         -
G25     FMCB_LA22_N           PIN_H18   IO,LVDS3G_9n                         -
D23     FMCB_LA23_P           PIN_H13   IO,LVDS3F_17p                        -
D24     FMCB_LA23_N           PIN_J13   IO,LVDS3F_17n                        -
H28     FMCB_LA24_P           PIN_M13   IO,LVDS3F_16p                        -
H29     FMCB_LA24_N           PIN_L14   IO,LVDS3F_16n                        -
G27     FMCB_LA25_P           PIN_M12   IO,LVDS3F_18p                        -
G28     FMCB_LA25_N           PIN_L13   IO,LVDS3F_18n                        -
D26     FMCB_LA26_P           PIN_M15   IO,LVDS3G_24p                        -
D27     FMCB_LA26_N           PIN_L15   IO,LVDS3G_24n                        -
