FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                                             Comments

H4      FMCA_CLK0_M2C_P       PIN_E5    IO,CLK_3G_1p,LVDS3G_12p                                    FACLK0M2CP
H5      FMCA_CLK0_M2C_N       PIN_F5    IO,CLK_3G_1n,LVDS3G_12n                                    FACLK0M2CN
G2      FMCA_CLK1_M2C_P       PIN_W5    IO,CLK_3E_1p,LVDS3E_12p                                    FACLK1M2CP
G3      FMCA_CLK1_M2C_N       PIN_W6    IO,CLK_3E_1n,LVDS3E_12n                                    FACLK1M2CN
B1      FMCA_CLK_DIR          #N/A      #N/A                                                       FACLKDIR
K4      FMCA_CLK2_BIDIR_P     #N/A      #N/A                                                       FACLK2BIDIRP
K5      FMCA_CLK2_BIDIR_N     #N/A      #N/A                                                       FACLK2BIDIRN
J2      FMCA_CLK3_BIDIR_P     #N/A      #N/A                                                       FACLK3BIDIRP
J3      FMCA_CLK3_BIDIR_N     #N/A      #N/A                                                       FACLK3BIDIRP
G6      FMCA_LA00_CC_P        PIN_G14   IO,LVDS3H_7p                                               FALAP0
G7      FMCA_LA00_CC_N        PIN_H14   IO,LVDS3H_7n                                               FALAN0
#D8     FMCA_LA01_CC_P        #N/A      #N/A                                                       change R612 to R610
D8      FMCA_LA01_CC_P        PIN_E12   IO,PLL_3H_CLKOUT1p,PLL_3H_CLKOUT1,PLL_3H_FB1,LVDS3H_10p    FALAP1
#D9     FMCA_LA01_CC_N        #N/A      #N/A                                                       change R613 to R611
D9      FMCA_LA01_CC_N        PIN_E13   IO,PLL_3H_CLKOUT1n,LVDS3H_10n                              FALAN1
H7      FMCA_LA02_P           PIN_C13   IO,LVDS3H_9p                                               FALAP2
H8      FMCA_LA02_N           PIN_D13   IO,LVDS3H_9n                                               FALAN2
G9      FMCA_LA03_P           PIN_C14   IO,LVDS3H_8p                                               FALAP3
G10     FMCA_LA03_N           PIN_D14   IO,LVDS3H_8n                                               FALAN3
H10     FMCA_LA04_P           PIN_H12   IO,RZQ_3H,LVDS3H_11p                                       FALAP4
H11     FMCA_LA04_N           PIN_H13   IO,LVDS3H_11n                                              FALAN4
#D11    FMCB_LA05_P           #N/A      #N/A                                                       change R621 to R620
D11     FMCA_LA05_P           PIN_F13   IO,CLK_3H_1p,LVDS3H_12p                                    FALAP5
#D12    FMCB_LA05_N           #N/A      #N/A                                                       change R633 to R632
D12     FMCA_LA05_N           PIN_F14   IO,CLK_3H_1n,LVDS3H_12n                                    FALAN5
C10     FMCA_LA06_P           PIN_A10   IO,LVDS3H_19p                                              FALAP6
C11     FMCA_LA06_N           PIN_B10   IO,LVDS3H_19n                                              FALAN6
H13     FMCA_LA07_P           PIN_A9    IO,LVDS3H_20p                                              FALAP7
H14     FMCA_LA07_N           PIN_B9    IO,LVDS3H_20n                                              FALAN7
G12     FMCA_LA08_P           PIN_B11   IO,LVDS3H_21p                                              FALAP8
G13     FMCA_LA08_N           PIN_B12   IO,LVDS3H_21n                                              FALAN8
D14     FMCA_LA09_P           PIN_A12   IO,LVDS3H_22p                                              FALAP9
D15     FMCA_LA09_N           PIN_A13   IO,LVDS3H_22n                                              FALAN9
C14     FMCA_LA10_P           PIN_A7    IO,LVDS3H_23p                                              FALAP10
C15     FMCA_LA10_N           PIN_A8    IO,LVDS3H_23n                                              FALAN10
H16     FMCA_LA11_P           PIN_C9    IO,LVDS3H_24p                                              FALAP11
H17     FMCA_LA11_N           PIN_D9    IO,LVDS3H_24n                                              FALAN11
G15     FMCA_LA12_P           PIN_M12   IO,LVDS3G_21p                                              FALAP12
G16     FMCA_LA12_N           PIN_N13   IO,LVDS3G_21n                                              FALAN12
D17     FMCA_LA13_P           PIN_J11   IO,LVDS3G_20p                                              FALAP13
D18     FMCA_LA13_N           PIN_K11   IO,LVDS3G_20n                                              FALAN13
C18     FMCA_LA14_P           PIN_J9    IO,LVDS3G_23p                                              FALAP14
C19     FMCA_LA14_N           PIN_J10   IO,LVDS3G_23n                                              FALAN14
H19     FMCA_LA15_P           PIN_D4    IO,PLL_3G_CLKOUT1p,PLL_3G_CLKOUT1,PLL_3G_FB1,LVDS3G_10p    FALAP15
H20     FMCA_LA15_N           PIN_D5    IO,PLL_3G_CLKOUT1n,LVDS3G_10n                              FALAN15
G18     FMCA_LA16_P           PIN_D6    IO,RZQ_3G,LVDS3G_11p                                       FALAP16
G19     FMCA_LA16_N           PIN_E6    IO,LVDS3G_11n                                              FALAN16
D20     FMCA_LA17_CC_P        PIN_F9    IO,LVDS3G_14p                                              FALAP17
D21     FMCA_LA17_CC_N        PIN_G9    IO,LVDS3G_14n                                              FALAN17
C22     FMCA_LA18_CC_P        PIN_G7    IO,LVDS3G_17p                                              FALAP18
C23     FMCA_LA18_CC_N        PIN_H7    IO,LVDS3G_17n                                              FALAN18
H22     FMCA_LA19_P           PIN_G5    IO,LVDS3G_16p                                              FALAP19
H23     FMCA_LA19_N           PIN_G6    IO,LVDS3G_16n                                              FALAN19
G21     FMCA_LA20_P           PIN_C3    IO,LVDS3G_7p                                               FALAP20
G22     FMCA_LA20_N           PIN_C4    IO,LVDS3G_7n                                               FALAN20
H25     FMCA_LA21_P           PIN_C2    IO,LVDS3G_8p                                               FALAP21
H26     FMCA_LA21_N           PIN_D3    IO,LVDS3G_8n                                               FALAN21
G24     FMCA_LA22_P           PIN_F4    IO,LVDS3F_1p                                               FALAP22
G25     FMCA_LA22_N           PIN_G4    IO,LVDS3F_1n                                               FALAN22
D23     FMCA_LA23_P           PIN_C1    IO,LVDS3F_2p                                               FALAP23
D24     FMCA_LA23_N           PIN_D1    IO,LVDS3F_2n                                               FALAN23
H28     FMCA_LA24_P           PIN_E1    IO,LVDS3F_3p                                               FALAP24
H29     FMCA_LA24_N           PIN_E2    IO,LVDS3F_3n                                               FALAN24
G27     FMCA_LA25_P           PIN_E3    IO,LVDS3F_4p                                               FALAP25
G28     FMCA_LA25_N           PIN_F3    IO,LVDS3F_4n                                               FALAN25
D26     FMCA_LA26_P           PIN_F2    IO,LVDS3F_5p                                               FALAP26
D27     FMCA_LA26_N           PIN_G2    IO,LVDS3F_5n                                               FALAN26
C26     FMCA_LA27_P           PIN_G1    IO,LVDS3F_6p                                               FALAP27
C27     FMCA_LA27_N           PIN_H2    IO,LVDS3F_6n                                               FALAN27
H31     FMCA_LA28_P           PIN_L5    IO,LVDS3F_18p                                              FALAP28
H32     FMCA_LA28_N           PIN_M5    IO,LVDS3F_18n                                              FALAN28
G30     FMCA_LA29_P           PIN_N9    IO,LVDS3F_19p                                              FALAP29
G31     FMCA_LA29_N           PIN_P10   IO,LVDS3F_19n                                              FALAN29
H34     FMCA_LA30_P           PIN_P9    IO,LVDS3F_21p                                              FALAP30
H35     FMCA_LA30_N           PIN_R10   IO,LVDS3F_21n                                              FALAN30
G33     FMCA_LA31_P           PIN_P8    IO,LVDS3F_22p                                              FALAP31
G34     FMCA_LA31_N           PIN_R8    IO,LVDS3F_22n                                              FALAN31
H37     FMCA_LA32_P           PIN_L8    IO,LVDS3F_24p                                              FALAP32
