FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                                             Comments

H4      FMCB_CLK0_M2C_P       PIN_AR11  IO,CLK_3A_1p,LVDS3A_12p                                    FBCLK0M2CP
H5      FMCB_CLK0_M2C_N       PIN_AP11  IO,CLK_3A_1n,LVDS3A_12n                                    FBCLK0M2CN
#G2     FMCB_CLK1_M2C_P       #N/A      #N/A                                                       change R347 to R348
G2      FMCB_CLK1_M2C_P       PIN_AM10  IO,CLK_3A_0p,LVDS3A_13p                                    FBCLK1M2CP
#G3     FMCB_CLK1_M2C_N       #N/A      #N/A                                                       change R354 to R355
G3      FMCB_CLK1_M2C_N       PIN_AL10  IO,CLK_3A_0n,LVDS3A_13n                                    FBCLK1M2CN
B1      FMCB_CLK_DIR          #N/A      #N/A                                                       -
K4      FMCB_CLK2_BIDIR_P     PIN_Y31   GXBL1G_RX_CH0p,GXBL1G_REFCLK0p                             FBD10M2CP
K5      FMCB_CLK2_BIDIR_N     PIN_Y30   GXBL1G_RX_CH0n,GXBL1G_REFCLK0n                             FBD10M2CP
J2      FMCB_CLK3_BIDIR_P     #N/A      #N/A                                                       -
J3      FMCB_CLK3_BIDIR_N     #N/A      #N/A                                                       -
G6      FMCB_LA00_CC_P        PIN_AV7   IO,LVDS3A_1p                                               FBLAP0
G7      FMCB_LA00_CC_N        PIN_AU7   IO,LVDS3A_1n                                               FBLAN0
#D8     FMCB_LA01_CC_P        #N/A      #N/A                                                       change R361 to R360
D8      FMCB_LA01_CC_P        PIN_AT7   IO,LVDS3A_2p                                               FBLAP1
#D9     FMCB_LA01_CC_N        #N/A      #N/A                                                       change R365 to R364
D9      FMCB_LA01_CC_N        PIN_AT8   IO,LVDS3A_2n                                               FBLAN1
H7      FMCB_LA02_P           PIN_AT9   IO,LVDS3A_3p                                               FBLAP2
H8      FMCB_LA02_N           PIN_AT10  IO,LVDS3A_3n                                               FBLAN2
G9      FMCB_LA03_P           PIN_AW8   IO,LVDS3A_4p                                               FBLAP3
G10     FMCB_LA03_N           PIN_AV8   IO,LVDS3A_4n                                               FBLAN3
H10     FMCB_LA04_P           PIN_AV9   IO,LVDS3A_5p                                               FBLAP4
H11     FMCB_LA04_N           PIN_AU9   IO,LVDS3A_5n                                               FBLAN4
#D11    FMCB_LA05_P           #N/A      #N/A                                                       change R373 to R372
D11     FMCB_LA05_P           PIN_AW9   IO,LVDS3A_6p                                               FBLAP5
#D12    FMCB_LA05_N           #N/A      #N/A                                                       change R383 to R382
D12     FMCB_LA05_N           PIN_AW10  IO,LVDS3A_6n                                               FBLAN5
C10     FMCB_LA06_P           PIN_AR8   IO,LVDS3A_7p                                               FBLAP6
C11     FMCB_LA06_N           PIN_AP8   IO,LVDS3A_7n                                               FBLAN6
H13     FMCB_LA07_P           PIN_AU10  IO,LVDS3A_8p                                               FBLAP7
H14     FMCB_LA07_N           PIN_AU11  IO,LVDS3A_8n                                               FBLAN7
G12     FMCB_LA08_P           PIN_AP9   IO,LVDS3A_9p                                               FBLAP8
G13     FMCB_LA08_N           PIN_AN9   IO,LVDS3A_9n                                               FBLAN8
D14     FMCB_LA09_P           PIN_AR10  IO,PLL_3A_CLKOUT1p,PLL_3A_CLKOUT1,PLL_3A_FB1,LVDS3A_10p    FBLAP9
D15     FMCB_LA09_N           PIN_AP10  IO,PLL_3A_CLKOUT1n,LVDS3A_10n                              FBLAN9
C14     FMCB_LA10_P           PIN_AT12  IO,RZQ_3A,LVDS3A_11p                                       FBLAP10
C15     FMCB_LA10_N           PIN_AR12  IO,LVDS3A_11n                                              FBLAN10
H16     FMCB_LA11_P           PIN_AK11  IO,LVDS3A_14p                                              FBLAP11
H17     FMCB_LA11_N           PIN_AK12  IO,LVDS3A_14n                                              FBLAN11
G15     FMCB_LA12_P           PIN_AM12  IO,PLL_3A_CLKOUT0p,PLL_3A_CLKOUT0,PLL_3A_FB0,LVDS3A_15p    FBLAP12
G16     FMCB_LA12_N           PIN_AL12  IO,PLL_3A_CLKOUT0n,LVDS3A_15n                              FBLAN12
D17     FMCB_LA13_P           PIN_AN11  IO,LVDS3A_16p                                              FBLAP13
D18     FMCB_LA13_N           PIN_AM11  IO,LVDS3A_16n                                              FBLAN13
C18     FMCB_LA14_P           PIN_AL13  IO,LVDS3A_17p                                              FBLAP14
C19     FMCB_LA14_N           PIN_AL14  IO,LVDS3A_17n                                              FBLAN14
H19     FMCB_LA15_P           PIN_AN12  IO,LVDS3A_18p                                              FBLAP15
H20     FMCB_LA15_N           PIN_AN13  IO,LVDS3A_18n                                              FBLAN15
G18     FMCB_LA16_P           PIN_AK15  IO,LVDS3A_19p                                              FBLAP16
G19     FMCB_LA16_N           PIN_AJ15  IO,LVDS3A_19n                                              FBLAN16
D20     FMCB_LA17_CC_P        PIN_AH12  IO,LVDS3A_20p                                              FBLAP17
D21     FMCB_LA17_CC_N        PIN_AH13  IO,LVDS3A_20n                                              FBLAN17
C22     FMCB_LA18_CC_P        PIN_AK13  IO,LVDS3A_21p                                              FBLAP18
C23     FMCB_LA18_CC_N        PIN_AJ13  IO,LVDS3A_21n                                              FBLAN18
H22     FMCB_LA19_P           PIN_AG14  IO,LVDS3A_22p                                              FBLAP19
H23     FMCB_LA19_N           PIN_AF14  IO,LVDS3A_22n                                              FBLAN19
G21     FMCB_LA20_P           PIN_T4    IO,CLK_3E_0p,LVDS3E_13p                                    FBLAP20
G22     FMCB_LA20_N           PIN_U4    IO,CLK_3E_0n,LVDS3E_13n                                    FBLAN20
