FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                       Comments

H4      FMC_CLK0_M2C_P        H12       IO_L14P_T2L_N2_GC_66                 -
H5      FMC_CLK0_M2C_N        G12       IO_L14N_T2L_N3_GC_66                 -
G2      FMC_CLK1_M2C_P        E25       IO_L11P_T1U_N8_GC_67                 -
G3      FMC_CLK1_M2C_N        D25       IO_L11N_T1U_N9_GC_67                 -
G6      FMC_LA00_CC_P         H11       IO_L13P_T2L_N0_GC_QBC_66             -
G7      FMC_LA00_CC_N         G11       IO_L13N_T2L_N1_GC_QBC_66             -
D8      FMC_LA01_CC_P         G9        IO_L11P_T1U_N8_GC_66                 -
D9      FMC_LA01_CC_N         F9        IO_L11N_T1U_N9_GC_66                 -
H7      FMC_LA02_P            K10       IO_L10P_T1U_N6_QBC_AD4P_66           -
H8      FMC_LA02_N            J10       IO_L10N_T1U_N7_QBC_AD4N_66           -
G9      FPC_LA03_P            A13       IO_L23P_T3U_N8_66                    -
G10     FPC_LA03_N            A12       IO_L23N_T3U_N9_66                    -
H10     FMC_LA04_P            L12       IO_L17P_T2U_N8_AD10P_66              -
H11     FMC_LA04_N            K12       IO_L17N_T2U_N9_AD10N_66              -
D11     FMC_LA05_P            L13       IO_L16P_T2U_N6_QBC_AD3P_66           -
D12     FMC_LA05_N            K13       IO_L16N_T2U_N7_QBC_AD3N_66           -
C10     FMC_LA06_P            D13       IO_L24P_T3U_N10_66                   -
C11     FMC_LA06_N            C13       IO_L24N_T3U_N11_66                   -
H13     FMC_LA07_P            F8        IO_L1P_T0L_N0_DBC_66                 -
H14     FMC_LA07_N            E8        IO_L1N_T0L_N1_DBC_66                 -
G12     FMC_LA08_P            J8        IO_L9P_T1L_N4_AD12P_66               -
G13     FMC_LA08_N            H8        IO_L9N_T1L_N5_AD12N_66               -
D14     FMC_LA09_P            J9        IO_L8P_T1L_N2_AD5P_66                -
D15     FMC_LA09_N            H9        IO_L8N_T1L_N3_AD5N_66                -
C14     FMC_LA10_P            L8        IO_L7P_T1L_N0_QBC_AD13P_66           -
C15     FMC_LA10_N            K8        IO_L7N_T1L_N1_QBC_AD13N_66           -
H16     FMC_LA11_P            K11       IO_L15P_T2L_N4_AD11P_66              -
H17     FMC_LA11_N            J11       IO_L15N_T2L_N5_AD11N_6               -
G15     FMC_LA12_P            E10       IO_L6P_T0U_N10_AD6P_66               -
G16     FMC_LA12_N            D10       IO_L6N_T0U_N11_AD6N_666              -
D17     FMC_LA13_P            D9        IO_L5P_T0U_N8_AD14P_66               -
D18     FMC_LA13_N            C9        IO_L5N_T0U_N9_AD14N_66               -
C18     FMC_LA14_P            B10       IO_L4P_T0U_N6_DBC_AD7P_66            -
C19     FMC_LA14_N            A10       IO_L4N_T0U_N7_DBC_AD7N_66            -
H19     FMC_LA15_P            D8        IO_L3P_T0L_N4_AD15P_66               -
H20     FMC_LA15_N            C8        IO_L3N_T0L_N5_AD15N_66               -
G18     FMC_LA16_P            B9        IO_L2P_T0L_N2_66                     -
G19     FMC_LA16_N            A9        IO_L2N_T0L_N3_66                     -
D20     FMC_LA17_P            D24       IO_L12P_T1U_N10_GC_67                -
D21     FMC_LA17_N            C24       IO_L12N_T1U_N11_GC_67                -
C22     FMC_LA18_CC_P         E22       IO_L14P_T2L_N2_GC_67                 -
C23     FMC_LA18_CC_N         E23       IO_L14N_T2L_N3_GC_67                 -
H22     FMC_LA19_P            C21       IO_L16P_T2U_N6_QBC_AD3P_67           -
H23     FMC_LA19_N            C22       IO_L16N_T2U_N7_QBC_AD3N_67           -
G21     FMC_LA20_P            B24       IO_L10P_T1U_N6_QBC_AD4P_67           -
G22     FMC_LA20_N            A24       IO_L10N_T1U_N7_QBC_AD4N_67           -
H25     FMC_LA21_P            F23       IO_L21P_T3L_N4_AD8P_67               -
H26     FMC_LA21_N            F24       IO_L21N_T3L_N5_AD8N_67               -
G24     FMC_LA22_P            G24       IO_L19P_T3L_N0_DBC_AD9P_67           -
G25     FMC_LA22_N            F25       IO_L19N_T3L_N1_DBC_AD9N_67           -
D23     FMC_LA23_P            G22       IO_L23P_T3U_N8_67                    -
D24     FMC_LA23_N            F22       IO_L23N_T3U_N9_67                    -
H28     FMC_LA24_P            E20       IO_L20P_T3L_N2_AD1P_67               -
H29     FMC_LA24_N            E21       IO_L20N_T3L_N3_AD1N_67               -
G27     FMC_LA25_P            D20       IO_L18P_T2U_N10_AD2P_67              -
G28     FMC_LA25_N            D21       IO_L18N_T2U_N11_AD2N_67              -
D26     FMC_LA26_P            G20       IO_L22P_T3U_N6_DBC_AD0P_67           -
D27     FMC_LA26_N            F20       IO_L22N_T3U_N7_DBC_AD0N_67           -
C26     FMC_LA27_P            H21       IO_L24P_T3U_N10_67                   -
C27     FMC_LA27_N            G21       IO_L24N_T3U_N11_67                   -
H31     FMC_LA28_P            B21       IO_L15P_T2L_N4_AD11P_67              -
H32     FMC_LA28_N            B22       IO_L15N_T2L_N5_AD11N_67              -
G30     FMC_LA29_P            B20       IO_L17P_T2U_N8_AD10P_67              -
