FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                       Comments

H4      FMC_CLK0_M2C_P        AA24      IO_L12P_T1U_N10_GC_47_AA24           -
H5      FMC_CLK0_M2C_N        AA25      IO_L12N_T1U_N11_GC_47_AA25           -
G2      FMC_CLK1_M2C_P        AC31      IO_L12P_T1U_N10_GC_48_AC31           -
G3      FMC_CLK1_M2C_N        AC32      IO_L12N_T1U_N11_GC_48_AC32           -
G6      FMC_LA00_CC_P         W23       IO_L13P_T2L_N0_GC_QBC_47_W23         -
G7      FMC_LA00_CC_N         W24       IO_L13N_T2L_N1_GC_QBC_47_W24         -
D8      FMC_LA01_CC_P         W25       IO_L14P_T2L_N2_GC_47_W25             -
D9      FMC_LA01_CC_N         Y25       IO_L14N_T2L_N3_GC_47_Y25             -
H7      FMC_LA02_P            AA22      IO_L7P_T1L_N0_QBC_AD13P_47_AA22      -
H8      FMC_LA02_N            AB22      IO_L7N_T1L_N1_QBC_AD13N_47_AB22      -
G9      FMC_LA03_P            W28       IO_L21P_T3L_N4_AD8P_47_W28           -
G10     FMC_LA03_N            Y28       IO_L21N_T3L_N5_AD8N_47_Y28           -
H10     FMC_LA04_P            U26       IO_L22P_T3U_N6_DBC_AD0P_47_U26       -
H11     FMC_LA04_N            U27       IO_L22N_T3U_N7_DBC_AD0N_47_U27       -
D11     FMC_LA05_P            V27       IO_L19P_T3L_N0_DBC_AD9P_47_V27       -
D12     FMC_LA05_N            V28       IO_L19N_T3L_N1_DBC_AD9N_47_V28       -
C10     FMC_LA06_P            V29       IO_L23P_T3U_N8_47_V29                -
C11     FMC_LA06_N            W29       IO_L23N_T3U_N9_47_W29                -
H13     FMC_LA07_P            V22       IO_L16P_T2U_N6_QBC_AD3P_47_V22       -
H14     FMC_LA07_N            V23       IO_L16N_T2U_N7_QBC_AD3N_47_V23       -
G12     FMC_LA08_P            U24       IO_L20P_T3L_N2_AD1P_47_U24           -
G13     FMC_LA08_N            U25       IO_L20N_T3L_N3_AD1N_47_U25           -
D14     FMC_LA09_P            V26       IO_L24P_T3U_N10_47_V26               -
D15     FMC_LA09_N            W26       IO_L24N_T3U_N11_47_W26               -
C14     FMC_LA10_P            T22       IO_L17P_T2U_N8_AD10P_47_T22          -
C15     FMC_LA10_N            T23       IO_L17N_T2U_N9_AD10N_47_T23          -
H16     FMC_LA11_P            V21       IO_L18P_T2U_N10_AD2P_47_V21          -
H17     FMC_LA11_N            W21       IO_L18N_T2U_N11_AD2N_47_W21          -
G15     FMC_LA12_P            AC22      IO_L8P_T1L_N2_AD5P_47_AC22           -
G16     FMC_LA12_N            AC23      IO_L8N_T1L_N3_AD5N_47_AC23           -
D17     FMC_LA13_P            AA20      IO_L9P_T1L_N4_AD12P_47_AA20          -
D18     FMC_LA13_N            AB20      IO_L9N_T1L_N5_AD12N_47_AB20          -
C18     FMC_LA14_P            U21       IO_L15P_T2L_N4_AD11P_47_U21          -
C19     FMC_LA14_N            U22       IO_L15N_T2L_N5_AD11N_47_U22          -
H19     FMC_LA15_P            AB25      IO_L6P_T0U_N10_AD6P_47_AB25          -
H20     FMC_LA15_N            AB26      IO_L6N_T0U_N11_AD6N_47_AB26          -
