FMC_pin FMC_port_name             FPGA_pin  FPGA_port_name                                           Comments

H5      FMCA_CLK0_M2C_N           PIN_BE21  IO,CLK_3C_0n,LVDS3C_13n                                  FACLK0M2CN
H4      FMCA_CLK0_M2C_P           PIN_BF21  IO,CLK_3C_0p,LVDS3C_13p                                  FACLK0M2CP
G3      FMCA_CLK1_M2C_N           PIN_AT19  IO,CLK_3C_1n,LVDS3C_12n                                  FACLK1M2CN
G2      FMCA_CLK1_M2C_P           PIN_AR19  IO,CLK_3C_1p,LVDS3C_12p                                  FACLK1M2CP
B1      FMCA_CLK_DIR              PIN_AY17  IO,LVDS3A_20p                                            FACLKDIR
G7      FMCA_LA00_CC_N            PIN_AW31  IO,CLK_2A_1n,LVDS2A_12n                                  FALAN0
G6      FMCA_LA00_CC_P            PIN_AW30  IO,CLK_2A_1p,LVDS2A_12p                                  FALAP0
#D9     FMCA_LA01_CC_N            #N/A      #N/A                                                     change R229 to R233
D9      FMCA_LA01_CC_N            PIN_BD31  IO,CLK_2A_0n,LVDS2A_13n                                  FALAN1
#D8     FMCA_LA01_CC_P            #N/A      #N/A                                                     change R228 to R232
D8      FMCA_LA01_CC_P            PIN_BE31  IO,CLK_2A_0p,LVDS2A_13p                                  FALAP1
H8      FMCA_LA02_N               PIN_AP20  IO,LVDS3C_9n                                             FALAN2
H7      FMCA_LA02_P               PIN_AN20  IO,LVDS3C_9p                                             FALAP2
G10     FMCA_LA03_N               PIN_BC32  IO,LVDS2A_9n                                             FALAN3
G9      FMCA_LA03_P               PIN_BC31  IO,LVDS2A_9p                                             FALAP3
H11     FMCA_LA04_N               PIN_BD30  IO,LVDS2A_16n                                            FALAN4
H10     FMCA_LA04_P               PIN_BC30  IO,LVDS2A_16p                                            FALAP4
D12     FMCA_LA05_N               PIN_BH30  IO,LVDS2A_18n                                            FALAN5
D11     FMCA_LA05_P               PIN_BG30  IO,LVDS2A_18p                                            FALAP5
C11     FMCA_LA06_N               PIN_BF30  IO,PLL_2A_CLKOUT0n,LVDS2A_15n                            FALAN6
C10     FMCA_LA06_P               PIN_BF31  IO,PLL_2A_CLKOUT0p,PLL_2A_CLKOUT0,PLL_2A_FB0,LVDS2A_15p  FALAP6
H14     FMCA_LA07_N               PIN_BF32  IO,LVDS2A_23n                                            FALAN7
H13     FMCA_LA07_P               PIN_BE32  IO,LVDS2A_23p                                            FALAP7
G13     FMCA_LA08_N               PIN_BG32  IO,LVDS2A_24n                                            FALAN8
G12     FMCA_LA08_P               PIN_BH32  IO,LVDS2A_24p                                            FALAP8
D15     FMCA_LA09_N               PIN_BA30  IO,LVDS2A_7n                                             FALAN9
D14     FMCA_LA09_P               PIN_BA31  IO,LVDS2A_7p                                             FALAP9
C15     FMCA_LA10_N               PIN_BB34  IO,LVDS2B_3n                                             FALAN10
C14     FMCA_LA10_P               PIN_BB33  IO,LVDS2B_3p                                             FALAP10
H17     FMCA_LA11_N               PIN_AT16  IO,LVDS3B_9n                                             FALAN11
H16     FMCA_LA11_P               PIN_AT15  IO,LVDS3B_9p                                             FALAP11
G16     FMCA_LA12_N               PIN_AU28  IO,LVDS2A_1n                                             FALAN12
G15     FMCA_LA12_P               PIN_AU29  IO,LVDS2A_1p                                             FALAP12
D18     FMCA_LA13_N               PIN_AR21  IO,LVDS3C_7n                                             FALAN13
D17     FMCA_LA13_P               PIN_AT21  IO,LVDS3C_7p                                             FALAP13
C19     FMCA_LA14_N               PIN_AT32  IO,LVDS2B_19n                                            FALAN14
C18     FMCA_LA14_P               PIN_AU32  IO,LVDS2B_19p                                            FALAP14
H20     FMCA_LA15_N               PIN_AN18  IO,LVDS3B_11n                                            FALAN15
H19     FMCA_LA15_P               PIN_AN17  IO,RZQ_3B,LVDS3B_11p                                     FALAP15
G19     FMCA_LA16_N               PIN_BA21  IO,LVDS3C_1n                                             FALAN16
G18     FMCA_LA16_P               PIN_BA20  IO,LVDS3C_1p                                             FALAP16
D21     FMCA_LA17_CC_N            PIN_AU17  IO,CLK_3B_1n,LVDS3B_12n                                  FALAN17
D20     FMCA_LA17_CC_P            PIN_AT17  IO,CLK_3B_1p,LVDS3B_12p                                  FALAP17
C23     FMCA_LA18_CC_N            PIN_BH17  IO,LVDS3C_21n                                            FALAN18
C22     FMCA_LA18_CC_P            PIN_BG17  IO,LVDS3C_21p                                            FALAP18
H23     FMCA_LA19_N               PIN_BD18  IO,LVDS3C_18n                                            FALAN19
H22     FMCA_LA19_P               PIN_BE18  IO,LVDS3C_18p                                            FALAP19
G22     FMCA_LA20_N               PIN_AP21  IO,PLL_3C_CLKOUT1n,LVDS3C_10n                            FALAN20
G21     FMCA_LA20_P               PIN_AN21  IO,PLL_3C_CLKOUT1p,PLL_3C_CLKOUT1,PLL_3C_FB1,LVDS3C_10p  FALAP20
H26     FMCA_LA21_N               PIN_BG19  IO,LVDS3C_19n                                            FALAN21
H25     FMCA_LA21_P               PIN_BG18  IO,LVDS3C_19p                                            FALAP21
G25     FMCA_LA22_N               PIN_BJ36  IO,LVDS2B_11n                                            FALAN22
G24     FMCA_LA22_P               PIN_BJ35  IO,RZQ_2B,LVDS2B_11p                                     FALAP22
D24     FMCA_LA23_N               PIN_BC35  IO,LVDS2B_2n                                             FALAN23
D23     FMCA_LA23_P               PIN_BC36  IO,LVDS2B_2p                                             FALAP23
H29     FMCA_LA24_N               PIN_BH21  IO,LVDS3C_20n                                            FALAN24
H28     FMCA_LA24_P               PIN_BH20  IO,LVDS3C_20p                                            FALAP24
G28     FMCA_LA25_N               PIN_BG20  IO,LVDS3C_14n                                            FALAN25
G27     FMCA_LA25_P               PIN_BF20  IO,LVDS3C_14p                                            FALAP25
D27     FMCA_LA26_N               PIN_BJ18  IO,LVDS3C_24n                                            FALAN26
D26     FMCA_LA26_P               PIN_BH18  IO,LVDS3C_24p                                            FALAP26
C27     FMCA_LA27_N               PIN_BJ20  IO,LVDS3C_22n                                            FALAN27
C26     FMCA_LA27_P               PIN_BJ19  IO,LVDS3C_22p                                            FALAP27
H32     FMCA_LA28_N               PIN_BD21  IO,LVDS3C_3n                                             FALAN28
H31     FMCA_LA28_P               PIN_BC21  IO,LVDS3C_3p                                             FALAP28
G31     FMCA_LA29_N               PIN_BF35  IO,LVDS2B_6n                                             FALAN29
G30     FMCA_LA29_P               PIN_BF36  IO,LVDS2B_6p                                             FALAP29
H35     FMCA_LA30_N               PIN_AU35  IO,LVDS2B_23n                                            FALAN30
H34     FMCA_LA30_P               PIN_AV35  IO,LVDS2B_23p                                            FALAP30
G34     FMCA_LA31_N               PIN_BD36  IO,LVDS2B_1n                                             FALAN31
G33     FMCA_LA31_P               PIN_BE36  IO,LVDS2B_1p                                             FALAP31
H38     FMCA_LA32_N               PIN_BG35  IO,LVDS2B_9n                                             FALAN32
H37     FMCA_LA32_P               PIN_BH35  IO,LVDS2B_9p                                             FALAP32
G37     FMCA_LA33_N               PIN_BE34  IO,PLL_2B_CLKOUT1n,LVDS2B_10n                            FALAN33
G36     FMCA_LA33_P               PIN_BE33  IO,PLL_2B_CLKOUT1p,PLL_2B_CLKOUT1,PLL_2B_FB1,LVDS2B_10p  FALAP33
F5      FMCA_HA00_CC_N            PIN_BB12  IO,LVDS3B_20n                                            FAHAN0
F4      FMCA_HA00_CC_P            PIN_BC12  IO,LVDS3B_20p                                            FAHAP0
E3      FMCA_HA01_CC_N            PIN_BB10  IO,LVDS3B_21n                                            FAHAN1
E2      FMCA_HA01_CC_P            PIN_BC10  IO,LVDS3B_21p                                            FAHAP1
K8      FMCA_HA02_N               PIN_BB20  IO,LVDS3C_2n                                             FAHAN2
K7      FMCA_HA02_P               PIN_BC20  IO,LVDS3C_2p                                             FAHAP2
J7      FMCA_HA03_N               PIN_BB29  IO,LVDS2A_8n                                             FAHAN3
J6      FMCA_HA03_P               PIN_BB30  IO,LVDS2A_8p                                             FAHAP3
F8      FMCA_HA04_N               PIN_AV32  IO,LVDS2B_20n                                            FAHAN4
F7      FMCA_HA04_P               PIN_AV33  IO,LVDS2B_20p                                            FAHAP4
E7      FMCA_HA05_N               PIN_AV30  IO,LVDS2A_5n                                             FAHAN5
E6      FMCA_HA05_P               PIN_AU30  IO,LVDS2A_5p                                             FAHAP5
