FMC_pin FMC_port_name               FPGA_pin   FPGA_port_name                                            Comments

G7      FMCB_LA00_CC_N              PIN_BH37   IO,CLK_2C_1n,LVDS2C_12n                                   FBLAN0
G6      FMCB_LA00_CC_P              PIN_BH36   IO,CLK_2C_1p,LVDS2C_12p                                   FBLAP0
#D9     FMCB_LA01_CC_N              #N/A       #N/A                                                      change R241 to R244
D9      FMCB_LA01_CC_N              PIN_AW39   IO,CLK_2C_0n,LVDS2C_13n                                   FBLAN1
#D8     FMCB_LA01_CC_P              #N/A       #N/A                                                      change R240 to R242
D8      FMCB_LA01_CC_P              PIN_AW38   IO,CLK_2C_0p,LVDS2C_13p                                   FBLAP1
H8      FMCB_LA02_N                 PIN_BG38   IO,LVDS2C_8n                                              FBLAN2
H7      FMCB_LA02_P                 PIN_BG37   IO,LVDS2C_8p                                              FBLAP2
G10     FMCB_LA03_N                 PIN_AY40   IO,LVDS2C_1n                                              FBLAN3
G9      FMCB_LA03_P                 PIN_BA40   IO,LVDS2C_1p                                              FBLAP3
H11     FMCB_LA04_N                 PIN_BE38   IO,LVDS2C_9n                                              FBLAN4
H10     FMCB_LA04_P                 PIN_BE39   IO,LVDS2C_9p                                              FBLAP4
D12     FMCB_LA05_N                 PIN_AR33   IO,LVDS2C_24n                                             FBLAN5
D11     FMCB_LA05_P                 PIN_AP34   IO,LVDS2C_24p                                             FBLAP5
C11     FMCB_LA06_N                 PIN_AR37   IO,LVDS2C_23n                                             FBLAN6
C10     FMCB_LA06_P                 PIN_AT38   IO,LVDS2C_23p                                             FBLAP6
H14     FMCB_LA07_N                 PIN_BF39   IO,LVDS2C_11n                                             FBLAN7
H13     FMCB_LA07_P                 PIN_BF40   IO,RZQ_2C,LVDS2C_11p                                      FBLAP7
G13     FMCB_LA08_N                 PIN_BD40   IO,LVDS2C_7n                                              FBLAN8
G12     FMCB_LA08_P                 PIN_BE40   IO,LVDS2C_7p                                              FBLAP8
D15     FMCB_LA09_N                 PIN_AV40   IO,PLL_2C_CLKOUT0n,LVDS2C_15n                             FBLAN9
D14     FMCB_LA09_P                 PIN_AW40   IO,PLL_2C_CLKOUT0p,PLL_2C_CLKOUT0,PLL_2C_FB0,LVDS2C_15p   FBLAP9
C15     FMCB_LA10_N                 PIN_AP33   IO,LVDS2C_21n                                             FBLAN10
C14     FMCB_LA10_P                 PIN_AN33   IO,LVDS2C_21p                                             FBLAP10
H17     FMCB_LA11_N                 PIN_BB40   IO,LVDS2C_3n                                              FBLAN11
H16     FMCB_LA11_P                 PIN_BC40   IO,LVDS2C_3p                                              FBLAP11
G16     FMCB_LA12_N                 PIN_BD38   IO,LVDS2C_4n                                              FBLAN12
G15     FMCB_LA12_P                 PIN_BD39   IO,LVDS2C_4p                                              FBLAP12
D18     FMCB_LA13_N                 PIN_AT36   IO,LVDS2C_22n                                             FBLAN13
D17     FMCB_LA13_P                 PIN_AT37   IO,LVDS2C_22p                                             FBLAP13
C19     FMCB_LA14_N                 PIN_AP31   IO,LVDS2F_11n                                             FBLAN14
C18     FMCB_LA14_P                 PIN_AP30   IO,RZQ_2F,LVDS2F_11p                                      FBLAP14
H20     FMCB_LA15_N                 PIN_BC38   IO,LVDS2C_5n                                              FBLAN15
H19     FMCB_LA15_P                 PIN_BB38   IO,LVDS2C_5p                                              FBLAP15
G19     FMCB_LA16_N                 PIN_BE37   IO,PLL_2C_CLKOUT1n,LVDS2C_10n                             FBLAN16
G18     FMCB_LA16_P                 PIN_BF37   IO,PLL_2C_CLKOUT1p,PLL_2C_CLKOUT1,PLL_2C_FB1,LVDS2C_10p   FBLAP16
D21     FMCB_LA17_CC_N              PIN_BA26   IO,CLK_2F_0n,LVDS2F_13n                                   FBLAN17
D20     FMCB_LA17_CC_P              PIN_BA27   IO,CLK_2F_0p,LVDS2F_13p                                   FBLAP17
C23     FMCB_LA18_CC_N              PIN_AR36   IO,LVDS2C_20n                                             FBLAN18
C22     FMCB_LA18_CC_P              PIN_AP36   IO,LVDS2C_20p                                             FBLAP18
H23     FMCB_LA19_N                 PIN_AY39   IO,LVDS2C_16n                                             FBLAN19
H22     FMCB_LA19_P                 PIN_AY38   IO,LVDS2C_16p                                             FBLAP19
G22     FMCB_LA20_N                 PIN_BA39   IO,LVDS2C_2n                                              FBLAN20
G21     FMCB_LA20_P                 PIN_BB39   IO,LVDS2C_2p                                              FBLAP20
H26     FMCB_LA21_N                 PIN_AY26   IO,LVDS2F_6n                                              FBLAN21
H25     FMCB_LA21_P                 PIN_AW26   IO,LVDS2F_6p                                              FBLAP21
G25     FMCB_LA22_N                 PIN_BA37   IO,LVDS2C_14n                                             FBLAN22
G24     FMCB_LA22_P                 PIN_AY37   IO,LVDS2C_14p                                             FBLAP22
D24     FMCB_LA23_N                 PIN_AR34   IO,LVDS2C_19n                                             FBLAN23
D23     FMCB_LA23_P                 PIN_AP35   IO,LVDS2C_19p                                             FBLAP23
H29     FMCB_LA24_N                 PIN_AT26   IO,LVDS2F_4n                                              FBLAN24
H28     FMCB_LA24_P                 PIN_AR26   IO,LVDS2F_4p                                              FBLAP24
G28     FMCB_LA25_N                 PIN_AU27   IO,LVDS2F_5n                                              FBLAN25
G27     FMCB_LA25_P                 PIN_AT27   IO,LVDS2F_5p                                              FBLAP25
D27     FMCB_LA26_N                 PIN_AV38   IO,LVDS2C_18n                                             FBLAN26
D26     FMCB_LA26_P                 PIN_AV37   IO,LVDS2C_18p                                             FBLAP26
C27     FMCB_LA27_N                 PIN_BC37   IO,LVDS2C_6n                                              FBLAN27
C26     FMCB_LA27_P                 PIN_BB37   IO,LVDS2C_6p                                              FBLAP27
H32     FMCB_LA28_N                 PIN_AN26   IO,LVDS2F_7n                                              FBLAN28
H31     FMCB_LA28_P                 PIN_AP26   IO,LVDS2F_7p                                              FBLAP28
G31     FMCB_LA29_N                 PIN_AW25   IO,LVDS2F_2n                                              FBLAN29
G30     FMCB_LA29_P                 PIN_AV25   IO,LVDS2F_2p                                              FBLAP29
H35     FMCB_LA30_N                 PIN_AT25   IO,LVDS2F_1n                                              FBLAN30
H34     FMCB_LA30_P                 PIN_AU25   IO,LVDS2F_1p                                              FBLAP30
G34     FMCB_LA31_N                 PIN_AN25   IO,LVDS2F_8n                                              FBLAN31
G33     FMCB_LA31_P                 PIN_AP25   IO,LVDS2F_8p                                              FBLAP31
H38     FMCB_LA32_N                 PIN_AP29   IO,LVDS2F_9n                                              FBLAN32
H37     FMCB_LA32_P                 PIN_AP28   IO,LVDS2F_9p                                              FBLAP32
G37     FMCB_LA33_N                 PIN_AR27   IO,PLL_2F_CLKOUT1n,LVDS2F_10n                             FBLAN33
G36     FMCB_LA33_P                 PIN_AR28   IO,PLL_2F_CLKOUT1p,PLL_2F_CLKOUT1,PLL_2F_FB1,LVDS2F_10p   FBLAP33
D5      FMCB_GBTCLK0_M2C_N          PIN_V37    REFCLK_GXBL1K_CHTn                                        FBGBTCLK0M2CN
D4      FMCB_GBTCLK0_M2C_P          PIN_V38    REFCLK_GXBL1K_CHTp                                        FBGBTCLK0M2CP
B21     FMCB_GBTCLK1_M2C_N          PIN_AB40   REFCLK_GXBL1L_CHTn                                        FBGBTCLK1M2CN
B20     FMCB_GBTCLK1_M2C_P          PIN_AB41   REFCLK_GXBL1L_CHTp                                        FBGBTCLK1M2CP
L13     FMCB_GBTCLK2_M2C_N          PIN_V40    REFCLK_GXBL1M_CHTn                                        FBGBTCLK2M2CN
