FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                       Comments

H4      FMC1_CLK0_M2C_P       L39       IO_L13P_T2_MRCC_19                   -
H5      FMC1_CLK0_M2C_N       L40       IO_L13N_T2_MRCC_19                   -
G2      FMC1_CLK1_M2C_P       N30       IO_L13P_T2_MRCC_34                   -
G3      FMC1_CLK1_M2C_N       M31       IO_L13N_T2_MRCC_34                   -
B1      CLK_DIR               #N/A      #N/A                                 -
K4      CLK2_IO_P             #N/A      #N/A                                 -
K5      CLK2_IO_N             #N/A      #N/A                                 -
J2      CLK3_IO_P             #N/A      #N/A                                 -
J3      CLK3_IO_N             #N/A      #N/A                                 -
G6      FMC1_LA00_CC_P        K39       IO_L12P_T1_MRCC_19                   -
G7      FMC1_LA00_CC_N        K40       IO_L12N_T1_MRCC_19                   -
D8      FMC1_LA01_CC_P        J40       IO_L11P_T1_SRCC_19                   -
D9      FMC1_LA01_CC_N        J41       IO_L11N_T1_SRCC_19                   -
H7      FMC1_LA02_P           P41       IO_L19P_T3_19                        -
H8      FMC1_LA02_N           N41       IO_L19N_T3_VREF_19                   -
G9      FMC1_LA03_P           M42       IO_L16P_T2_19                        -
G10     FMC1_LA03_N           L42       IO_L16N_T2_19                        -
H10     FMC1_LA04_P           H40       IO_L7P_T1_19                         -
H11     FMC1_LA04_N           H41       IO_L7N_T1_19                         -
D11     FMC1_LA05_P           M41       IO_L14P_T2_SRCC_19                   -
D12     FMC1_LA05_N           L41       IO_L14N_T2_SRCC_19                   -
C10     FMC1_LA06_P           K42       IO_L15P_T2_DQS_19                    -
C11     FMC1_LA06_N           J42       IO_L15N_T2_DQS_19                    -
H13     FMC1_LA07_P           G41       IO_L9P_T1_DQS_19                     -
H14     FMC1_LA07_N           G42       IO_L9N_T1_DQS_19                     -
G12     FMC1_LA08_P           M37       IO_L20P_T3_19                        -
G13     FMC1_LA08_N           M38       IO_L20N_T3_19                        -
D14     FMC1_LA09_P           R42       IO_L21P_T3_DQS_19                    -
D15     FMC1_LA09_N           P42       IO_L21N_T3_DQS_19                    -
C14     FMC1_LA10_P           N38       IO_L22P_T3_19                        -
C15     FMC1_LA10_N           M39       IO_L22N_T3_19                        -
H16     FMC1_LA11_P           F40       IO_L10P_T1_19                        -
H17     FMC1_LA11_N           F41       IO_L10N_T1_19                        -
G15     FMC1_LA12_P           R40       IO_L23P_T3_19                        -
G16     FMC1_LA12_N           P40       IO_L23N_T3_19                        -
D17     FMC1_LA13_P           H39       IO_L8P_T1_19                         -
D18     FMC1_LA13_N           G39       IO_L8N_T1_19                         -
C18     FMC1_LA14_P           N39       IO_L24P_T3_19                        -
C19     FMC1_LA14_N           N40       IO_L24N_T3_19                        -
H19     FMC1_LA15_P           M36       IO_L18P_T2_19                        -
H20     FMC1_LA15_N           L37       IO_L18N_T2_19                        -
G18     FMC1_LA16_P           K37       IO_L17P_T2_19                        -
G19     FMC1_LA16_N           K38       IO_L17N_T2_19                        -
D20     FMC1_LA17_CC_P        L31       IO_L12P_T1_MRCC_34                   -
D21     FMC1_LA17_CC_N        K32       IO_L12N_T1_MRCC_34                   -
C22     FMC1_LA18_CC_P        M32       IO_L11P_T1_SRCC_34                   -
C23     FMC1_LA18_CC_N        L32       IO_L11N_T1_SRCC_34                   -
H22     FMC1_LA19_P           W30       IO_L22P_T3_34                        -
H23     FMC1_LA19_N           W31       IO_L22N_T3_34                        -
G21     FMC1_LA20_P           Y29       IO_L24P_T3_34                        -
G22     FMC1_LA20_N           Y30       IO_L24N_T3_34                        -
H25     FMC1_LA21_P           N28       IO_L17P_T2_34                        -
H26     FMC1_LA21_N           N29       IO_L17N_T2_34                        -
G24     FMC1_LA22_P           R28       IO_L16P_T2_34                        -
G25     FMC1_LA22_N           P28       IO_L16N_T2_34                        -
D23     FMC1_LA23_P           P30       IO_L14P_T2_SRCC_34                   -
D24     FMC1_LA23_N           N31       IO_L14N_T2_SRCC_34                   -
H28     FMC1_LA24_P           R30       IO_L18P_T2_34                        -
H29     FMC1_LA24_N           P31       IO_L18N_T2_34                        -
G27     FMC1_LA25_P           K29       IO_L7P_T1_34                         -
G28     FMC1_LA25_N           K30       IO_L7N_T1_34                         -
D26     FMC1_LA26_P           J30       IO_L8P_T1_34                         -
D27     FMC1_LA26_N           H30       IO_L8N_T1_34                         -
C26     FMC1_LA27_P           J31       IO_L10P_T1_34                        -
C27     FMC1_LA27_N           H31       IO_L10N_T1_34                        -
H31     FMC1_LA28_P           L29       IO_L9P_T1_DQS_34                     -
H32     FMC1_LA28_N           L30       IO_L9N_T1_DQS_34                     -
G30     FMC1_LA29_P           T29       IO_L21P_T3_DQS_34                    -
G31     FMC1_LA29_N           T30       IO_L21N_T3_DQS_34                    -
H34     FMC1_LA30_P           V30       IO_L20P_T3_34                        -
H35     FMC1_LA30_N           V31       IO_L20N_T3_34                        -
G33     FMC1_LA31_P           M28       IO_L15P_T2_DQS_34                    -
G34     FMC1_LA31_N           M29       IO_L15N_T2_DQS_34                    -
H37     FMC1_LA32_P           V29       IO_L23P_T3_34                        -
H38     FMC1_LA32_N           U29       IO_L23N_T3_34                        -
