FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                       Comments

H4      FMC2_CLK0_M2C_P       AF39      IO_L13P_T2_MRCC_17                   -
H5      FMC2_CLK0_M2C_N       AF40      IO_L13N_T2_MRCC_17                   -
G2      FMC2_CLK1_M2C_P       U39       IO_L12P_T1_MRCC_18                   -
G3      FMC2_CLK1_M2C_N       T39       IO_L12N_T1_MRCC_18                   -
B1      CLK_DIR               #N/A      #N/A                                 -
K4      CLK2_IO_P             #N/A      #N/A                                 -
K5      CLK2_IO_N             #N/A      #N/A                                 -
J2      CLK3_IO_P             #N/A      #N/A                                 -
J3      CLK3_IO_N             #N/A      #N/A                                 -
G6      FMC2_LA00_CC_P        AD40      IO_L12P_T1_MRCC_17                   -
G7      FMC2_LA00_CC_N        AD41      IO_L12N_T1_MRCC_17                   -
D8      FMC2_LA01_CC_P        AF41      IO_L14P_T2_SRCC_17                   -
D9      FMC2_LA01_CC_N        AG41      IO_L14N_T2_SRCC_17                   -
H7      FMC2_LA02_P           AK39      IO_L23P_T3_17                        -
H8      FMC2_LA02_N           AL39      IO_L23N_T3_17                        -
G9      FMC2_LA03_P           AJ42      IO_L24P_T3_17                        -
G10     FMC2_LA03_N           AK42      IO_L24N_T3_17                        -
H10     FMC2_LA04_P           AL41      IO_L21P_T3_DQS_17                    -
H11     FMC2_LA04_N           AL42      IO_L21N_T3_DQS_17                    -
D11     FMC2_LA05_P           AF42      IO_L16P_T2_17                        -
D12     FMC2_LA05_N           AG42      IO_L16N_T2_17                        -
C10     FMC2_LA06_P           AD38      IO_L9P_T1_DQS_17                     -
C11     FMC2_LA06_N           AE38      IO_L9N_T1_DQS_17                     -
H13     FMC2_LA07_P           AC40      IO_L10P_T1_17                        -
H14     FMC2_LA07_N           AC41      IO_L10N_T1_17                        -
G12     FMC2_LA08_P           AD42      IO_L8P_T1_17                         -
G13     FMC2_LA08_N           AE42      IO_L8N_T1_17                         -
D14     FMC2_LA09_P           AJ38      IO_L18P_T2_17                        -
