FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                       Comments

H4      FMC1_CLK0_M2C_P       L39       IO_L13P_T2_MRCC_19_L39               -
H5      FMC1_CLK0_M2C_N       L40       IO_L13N_T2_MRCC_19_L40               -
G2      FMC1_CLK1_M2C_P       N30       IO_L13P_T2_MRCC_34_N30               -
G3      FMC1_CLK1_M2C_N       M31       IO_L13N_T2_MRCC_34_M31               -
G6      FMC1_LA00_CC_P        K39       IO_L12P_T1_MRCC_19_K39               -
G7      FMC1_LA00_CC_N        K40       IO_L12N_T1_MRCC_19_K40               -
D8      FMC1_LA01_CC_P        J40       IO_L11P_T1_SRCC_19_J40               -
D9      FMC1_LA01_CC_N        J41       IO_L11N_T1_SRCC_19_J41               -
H7      FMC1_LA02_P           P41       IO_L19P_T3_19_P41                    -
H8      FMC1_LA02_N           N41       IO_L19N_T3_VREF_19_N41               -
G9      FMC1_LA03_P           M42       IO_L16P_T2_19_M42                    -
G10     FMC1_LA03_N           L42       IO_L16N_T2_19_L42                    -
H10     FMC1_LA04_P           H40       IO_L7P_T1_19_H40                     -
H11     FMC1_LA04_N           H41       IO_L7N_T1_19_H41                     -
D11     FMC1_LA05_P           M41       IO_L14P_T2_SRCC_19_M41               -
D12     FMC1_LA05_N           L41       IO_L14N_T2_SRCC_19_L41               -
C10     FMC1_LA06_P           K42       IO_L15P_T2_DQS_19_K42                -
C11     FMC1_LA06_N           J42       IO_L15N_T2_DQS_19_J42                -
H13     FMC1_LA07_P           G41       IO_L9P_T1_DQS_19_G41                 -
H14     FMC1_LA07_N           G42       IO_L9N_T1_DQS_19_G42                 -
G12     FMC1_LA08_P           M37       IO_L20P_T3_19_M37                    -
G13     FMC1_LA08_N           M38       IO_L2ON_T3_19_M38                    -
D14     FMC1_LA09_P           R42       IO_L21P_T3_DQS_19_R42                -
D15     FMC1_LA09_N           P42       IO_L21N_T3_DQS_19_P42                -
C14     FMC1_LA10_P           N38       IO_L22P_T3_19_N38                    -
C15     FMC1_LA10_N           M39       IO_L22N_T3_19_M39                    -
H16     FMC1_LA11_P           F40       IO_L10P_T1_19_F40                    -
H17     FMC1_LA11_N           F41       IO_L10N_T1_19_F41                    -
G15     FMC1_LA12_P           R40       IO_L23P_T3_19_R40                    -
G16     FMC1_LA12_N           P40       IO_L23N_T3_19_P40                    -
D17     FMC1_LA13_P           H39       IO_L8P_T1_19_H39                     -
D18     FMC1_LA13_N           G39       IO_L8N_T1_19_G39                     -
C18     FMC1_LA14_P           N39       IO_L24P_T3_19_N39                    -
C19     FMC1_LA14_N           N40       IO_L24N_T3_19_N40                    -
