FMC_pin FMC_port_name           FPGA_pin  FPGA_port_name                       Comments

H5      FMC1_CLK0_M2C_N         BC8       IO_L12N_T1U_N11_GC_66                -
H4      FMC1_CLK0_M2C_P         BC9       IO_L12P_T1U_N10_GC_66                -
G3      FMC1_CLK1_M2C_N         AV13      IO_L12N_T1U_N11_GC_67                -
G2      FMC1_CLK1_M2C_P         AV14      IO_L12P_T1U_N10_GC_67                -
G7      FMC1_LA00_CC_N          BA9       IO_L13N_T2L_N1_GC_QBC_66             -
G6      FMC1_LA00_CC_P          AY9       IO_L13P_T2L_N0_GC_QBC_66             -
D9      FMC1_LA01_CC_N          BF9       IO_L10N_T1U_N7_QBC_AD4N_66           -
D8      FMC1_LA01_CC_P          BF10      IO_L10P_T1U_N6_QBC_AD4P_66           -
H8      FMC1_LA02_N             BD11      IO_L3N_T0L_N5_AD15N_66               -
H7      FMC1_LA02_P             BC11      IO_L3P_T0L_N4_AD15P_66               -
G10     FMC1_LA03_N             BE12      IO_L1N_T0L_N1_DBC_66                 -
G9      FMC1_LA03_P             BD12      IO_L1P_T0L_N0_DBC_66                 -
H11     FMC1_LA04_N             BF11      IO_L2N_T0L_N3_66                     -
H10     FMC1_LA04_P             BF12      IO_L2P_T0L_N2_66                     -
D12     FMC1_LA05_N             BF14      IO_L5N_T0U_N9_AD14N_66               -
D11     FMC1_LA05_P             BE14      IO_L5P_T0U_N8_AD14P_66               -
C11     FMC1_LA06_N             BE13      IO_L4N_T0U_N7_DBC_AD7N_66            -
C10     FMC1_LA06_P             BD13      IO_L4P_T0U_N6_DBC_AD7P_66            -
H14     FMC1_LA07_N             BD15      IO_L21N_T3L_N5_AD8N_66               -
H13     FMC1_LA07_P             BC15      IO_L21P_T3L_N4_AD8P_66               -
G13     FMC1_LA08_N             BF15      IO_L6N_T0U_N11_AD6N_66               -
G12     FMC1_LA08_P             BE15      IO_L6P_T0U_N10_AD6P_66               -
D15     FMC1_LA09_N             BB14      IO_L23N_T3U_N9_66                    -
D14     FMC1_LA09_P             BA14      IO_L23P_T3U_N8_66                    -
C15     FMC1_LA10_N             BB12      IO_L24N_T3U_N11_66                   -
C14     FMC1_LA10_P             BB13      IO_L24P_T3U_N10_66                   -
H17     FMC1_LA11_N             BA15      IO_L22N_T3U_N7_DBC_AD0N_66           -
H16     FMC1_LA11_P             BA16      IO_L22P_T3U_N6_DBC_AD0P_66           -
G16     FMC1_LA12_N             BC13      IO_L19N_T3L_N1_DBC_AD9N_66           -
G15     FMC1_LA12_P             BC14      IO_L19P_T3L_N0_DBC_AD9P_66           -
D18     FMC1_LA13_N             AY7       IO_L17N_T2U_N9_AD10N_66              -
D17     FMC1_LA13_P             AY8       IO_L17P_T2U_N8_AD10P_66              -
C19     FMC1_LA14_N             AW7       IO_L18N_T2U_N11_AD2N_66              -
