FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                       Comments

H5      FMC_CLK0_M2C_N        AM32      IO_L13N_T2L_N1_GC_QBC_43             -
H4      FMC_CLK0_M2C_P        AL32      IO_L13P_T2L_N0_GC_QBC_43             -
G3      FMC_CLK1_M2C_N        P36       IO_L14N_T2L_N3_GC_45                 -
G2      FMC_CLK1_M2C_P        P35       IO_L14P_T2L_N2_GC_45                 -
G7      FMC_LA00_CC_N         AL36      IO_L7N_T1L_N1_QBC_AD13N_43           -
G6      FMC_LA00_CC_P         AL35      IO_L7P_T1L_N0_QBC_AD13P_43           -
D9      FMC_LA01_CC_N         AL31      IO_L16N_T2U_N7_QBC_AD3N_43           -
D8      FMC_LA01_CC_P         AL30      IO_L16P_T2U_N6_QBC_AD3P_43           -
H8      FMC_LA02_N            AK32      IO_L14N_T2L_N3_GC_43                 -
H7      FMC_LA02_P            AJ32      IO_L14P_T2L_N2_GC_43                 -
G10     FMC_LA03_N            AT40      IO_L4N_T0U_N7_DBC_AD7N_43            -
G9      FMC_LA03_P            AT39      IO_L4P_T0U_N6_DBC_AD7P_43            -
H11     FMC_LA04_N            AT37      IO_L6N_T0U_N11_AD6N_43               -
H10     FMC_LA04_P            AR37      IO_L6P_T0U_N10_AD6P_43               -
D12     FMC_LA05_N            AR38      IO_L1N_T0L_N1_DBC_43                 -
D11     FMC_LA05_P            AP38      IO_L1P_T0L_N0_DBC_43                 -
C11     FMC_LA06_N            AT36      IO_L2N_T0L_N3_43                     -
C10     FMC_LA06_P            AT35      IO_L2P_T0L_N2_43                     -
H14     FMC_LA07_N            AP37      IO_L5N_T0U_N9_AD14N_43               -
H13     FMC_LA07_P            AP36      IO_L5P_T0U_N8_AD14P_43               -
G13     FMC_LA08_N            AK30      IO_L18N_T2U_N11_AD2N_43              -
G12     FMC_LA08_P            AK29      IO_L18P_T2U_N10_AD2P_43              -
D15     FMC_LA09_N            AK33      IO_L19N_T3L_N1_DBC_AD9N_43           -
D14     FMC_LA09_P            AJ33      IO_L19P_T3L_N0_DBC_AD9P_43           -
C15     FMC_LA10_N            AR35      IO_L3N_T0L_N5_AD15N_43               -
C14     FMC_LA10_P            AP35      IO_L3P_T0L_N4_AD15P_43               -
H17     FMC_LA11_N            AJ31      IO_L17N_T2U_N9_AD10N_43              -
H16     FMC_LA11_P            AJ30      IO_L17P_T2U_N8_AD10P_43              -
G16     FMC_LA12_N            AH34      IO_L21N_T3L_N5_AD8N_43               -
G15     FMC_LA12_P            AH33      IO_L21P_T3L_N4_AD8P_43               -
D18     FMC_LA13_N            AJ36      IO_L20N_T3L_N3_AD1N_43               -
D17     FMC_LA13_P            AJ35      IO_L20P_T3L_N2_AD1P_43               -
C19     FMC_LA14_N            AH31      IO_L23N_T3U_N9_43                    -
C18     FMC_LA14_P            AG31      IO_L23P_T3U_N8_43                    -
H20     FMC_LA15_N            AG33      IO_L24N_T3U_N11_43                   -
H19     FMC_LA15_P            AG32      IO_L24P_T3U_N10_43                   -
G19     FMC_LA16_N            AH35      IO_L22N_T3U_N7_DBC_AD0N_43           -
G18     FMC_LA16_P            AG34      IO_L22P_T3U_N6_DBC_AD0P_43           -
D21     FMC_LA17_CC_N         P34       IO_L13N_T2L_N1_GC_QBC_45             -
D20     FMC_LA17_CC_P         R34       IO_L13P_T2L_N0_GC_QBC_45             -
C23     FMC_LA18_CC_N         P31       IO_L10N_T1U_N7_QBC_AD4N_45           -
C22     FMC_LA18_CC_P         R31       IO_L10P_T1U_N6_QBC_AD4P_45           -
H23     FMC_LA19_N            M33       IO_L22N_T3U_N7_DBC_AD0N_45           -
H22     FMC_LA19_P            N33       IO_L22P_T3U_N6_DBC_AD0P_45           -
G22     FMC_LA20_N            M32       IO_L23N_T3U_N9_45                    -
G21     FMC_LA20_P            N32       IO_L23P_T3U_N8_45                    -
H26     FMC_LA21_N            L35       IO_L24N_T3U_N11_45                   -
H25     FMC_LA21_P            M35       IO_L24P_T3U_N10_45                   -
G25     FMC_LA22_N            N35       IO_L20N_T3L_N3_AD1N_45               -
G24     FMC_LA22_P            N34       IO_L20P_T3L_N2_AD1P_45               -
D24     FMC_LA23_N            W32       IO_L1N_T0L_N1_DBC_45                 -
D23     FMC_LA23_P            Y32       IO_L1P_T0L_N0_DBC_45                 -
H29     FMC_LA24_N            T35       IO_L6N_T0U_N11_AD6N_45               -
H28     FMC_LA24_P            T34       IO_L6P_T0U_N10_AD6P_45               -
G28     FMC_LA25_N            W34       IO_L3N_T0L_N5_AD15N_45               -
G27     FMC_LA25_P            Y34       IO_L3P_T0L_N4_AD15P_45               -
D27     FMC_LA26_N            U33       IO_L2N_T0L_N3_45                     -
D26     FMC_LA26_P            V32       IO_L2P_T0L_N2_45                     -
C27     FMC_LA27_N            V34       IO_L5N_T0U_N9_AD14N_45               -
C26     FMC_LA27_P            V33       IO_L5P_T0U_N8_AD14P_45               -
H32     FMC_LA28_N            L36       IO_L17N_T2U_N9_AD10N_45              -
H31     FMC_LA28_P            M36       IO_L17P_T2U_N8_AD10P_45              -
G31     FMC_LA29_N            T36       IO_L4N_T0U_N7_DBC_AD7N_45            -
G30     FMC_LA29_P            U35       IO_L4P_T0U_N6_DBC_AD7P_45            -
H35     FMC_LA30_N            M38       IO_L18N_T2U_N11_AD2N_45              -
H34     FMC_LA30_P            N38       IO_L18P_T2U_N10_AD2P_45              -
G34     FMC_LA31_N            N37       IO_L16N_T2U_N7_QBC_AD3N_45           -
G33     FMC_LA31_P            P37       IO_L16P_T2U_N6_QBC_AD3P_45           -
H38     FMC_LA32_N            K33       IO_L21N_T3L_N5_AD8N_45               -
