FMC_pin FMC_port_name       FPGA_pin  FPGA_port_name                       Comments

H5      FMC_CLK0_M2C_N      F23       IO_L11N_T1U_N9_GC_72                 -
H4      FMC_CLK0_M2C_P      F24       IO_L11P_T1U_N8_GC_72                 -
G3      FMC_CLK1_M2C_N      G17       IO_L11N_T1U_N9_GC_71                 -
G2      FMC_CLK1_M2C_P      G18       IO_L11P_T1U_N8_GC_71                 -
G7      FMC_LA00_CC_N       E23       IO_L13N_T2L_N1_GC_QBC_72             -
G6      FMC_LA00_CC_P       E24       IO_L13P_T2L_N0_GC_QBC_72             -
D9      FMC_LA01_CC_N       F25       IO_L14N_T2L_N3_GC_72                 -
D8      FMC_LA01_CC_P       F26       IO_L14P_T2L_N2_GC_72                 -
H8      FMC_LA02_N          K22       IO_L4N_T0U_N7_DBC_AD7N_72            -
H7      FMC_LA02_P          L23       IO_L4P_T0U_N6_DBC_AD7P_72            -
G10     FMC_LA03_N          A26       IO_L23N_T3U_N9_72                    -
G9      FMC_LA03_P          B27       IO_L23P_T3U_N8_72                    -
H11     FMC_LA04_N          C24       IO_L20N_T3L_N3_AD1N_72               -
H10     FMC_LA04_P          C25       IO_L20P_T3L_N2_AD1P_72               -
D12     FMC_LA05_N          G27       IO_L9N_T1L_N5_AD12N_72               -
D11     FMC_LA05_P          H27       IO_L9P_T1L_N4_AD12P_72               -
C11     FMC_LA06_N          D22       IO_L15N_T2L_N5_AD11N_72              -
C10     FMC_LA06_P          E22       IO_L15P_T2L_N4_AD11P_72              -
H14     FMC_LA07_N          J27       IO_L5N_T0U_N9_AD14N_72               -
H13     FMC_LA07_P          K27       IO_L5P_T0U_N8_AD14P_72               -
G13     FMC_LA08_N          D27       IO_L18N_T2U_N11_AD2N_72              -
G12     FMC_LA08_P          E27       IO_L18P_T2U_N10_AD2P_72              -
D15     FMC_LA09_N          D26       IO_L17N_T2U_N9_AD10N_72              -
D14     FMC_LA09_P          E26       IO_L17P_T2U_N8_AD10P_72              -
C15     FMC_LA10_N          A23       IO_L22N_T3U_N7_DBC_AD0N_72           -
C14     FMC_LA10_P          B23       IO_L22P_T3U_N6_DBC_AD0P_72           -
H17     FMC_LA11_N          B25       IO_L21N_T3L_N5_AD8N_72               -
H16     FMC_LA11_P          B26       IO_L21P_T3L_N4_AD8P_72               -
G16     FMC_LA12_N          H22       IO_L8N_T1L_N3_AD5N_72                -
G15     FMC_LA12_P          J22       IO_L8P_T1L_N2_AD5P_72                -
D18     FMC_LA13_N          A24       IO_L24N_T3U_N11_72                   -
D17     FMC_LA13_P          A25       IO_L24P_T3U_N10_72                   -
C19     FMC_LA14_N          B22       IO_L19N_T3L_N1_DBC_AD9N_72           -
C18     FMC_LA14_P          C23       IO_L19P_T3L_N0_DBC_AD9P_72           -
H20     FMC_LA15_N          J25       IO_L6N_T0U_N11_AD6N_72               -
H19     FMC_LA15_P          J26       IO_L6P_T0U_N10_AD6P_72               -
G19     FMC_LA16_N          K23       IO_L3N_T0L_N5_AD15N_72               -
G18     FMC_LA16_P          K24       IO_L3P_T0L_N4_AD15P_72               -
D21     FMC_LA17_CC_N       E17       IO_L13N_T2L_N1_GC_QBC_71             -
D20     FMC_LA17_CC_P       F18       IO_L13P_T2L_N0_GC_QBC_71             -
C23     FMC_LA18_CC_N       E18       IO_L14N_T2L_N3_GC_71                 -
C22     FMC_LA18_CC_P       E19       IO_L14P_T2L_N2_GC_71                 -
H23     FMC_LA19_N          B17       IO_L21N_T3L_N5_AD8N_71               -
H22     FMC_LA19_P          B18       IO_L21P_T3L_N4_AD8P_71               -
G22     FMC_LA20_N          A20       IO_L22N_T3U_N7_DBC_AD0N_71           -
G21     FMC_LA20_P          A21       IO_L22P_T3U_N6_DBC_AD0P_71           -
H26     FMC_LA21_N          A18       IO_L23N_T3U_N9_71                    -
H25     FMC_LA21_P          A19       IO_L23P_T3U_N8_71                    -
G25     FMC_LA22_N          A16       IO_L24N_T3U_N11_71                   -
G24     FMC_LA22_P          B16       IO_L24P_T3U_N10_71                   -
D24     FMC_LA23_N          B20       IO_L20N_T3L_N3_AD1N_71               -
D23     FMC_LA23_P          B21       IO_L20P_T3L_N2_AD1P_71               -
H29     FMC_LA24_N          C17       IO_L19N_T3L_N1_DBC_AD9N_71           -
