FMC_pin FMC_port_name          FPGA_pin       FPGA_port_name                       Comments

H4      FMCP1_CLK0_M2C_P        V27            IO_L12P_GC_XCC_N4P0_M3P78_710        -
H5      FMCP1_CLK0_M2C_N        U27            IO_L12N_GC_XCC_N4P1_M3P79_710        -
G2      FMCP1_CLK1_M2C_P        R21            IO_L12P_GC_XCC_N4P0_M3P24_709        -
G3      FMCP1_CLK1_M2C_N        P22            IO_L12N_GC_XCC_N4P1_M3P25_709        -
G6      FMCP1_LA00_CC_P         G26            IO_L6P_GC_XCC_N2P0_M3P66_710         -
G7      FMCP1_LA00_CC_N         F26            IO_L6N_GC_XCC_N2P1_M3P67_710         -
D8      FMCP1_LA01_CC_P         D25            IO_L9P_GC_XCC_N3P0_M3P72_710         -
D9      FMCP1_LA01_CC_N         C25            IO_L9N_GC_XCC_N3P1_M3P73_710         -
H7      FMCP1_LA02_P            N27            IO_L17P_N5P4_M3P88_710               -
H8      FMCP1_LA02_N            M28            IO_L17N_N5P5_M3P89_710               -
G9      FMCP1_LA03_P            H26            IO_L0P_XCC_N0P0_M3P54_710            -
G10     FMCP1_LA03_N            G27            IO_L0N_XCC_N0P1_M3P55_710            -
H10     FMCP1_LA04_P            H27            IO_L1P_N0P2_M3P56_710                -
H11     FMCP1_LA04_N            G28            IO_L1N_N0P3_M3P57_710                -
D11     FMCP1_LA05_P            T26            IO_L14P_N4P4_M3P82_710               -
D12     FMCP1_LA05_N            R26            IO_L14N_N4P5_M3P83_710               -
C10     FMCP1_LA06_P            V26            IO_L13P_N4P2_M3P80_710               -
C11     FMCP1_LA06_N            U26            IO_L13N_N4P3_M3P81_710               -
H13     FMCP1_LA07_P            F28            IO_L2P_N0P4_M3P58_710                -
H14     FMCP1_LA07_N            E28            IO_L2N_N0P5_M3P59_710                -
G12     FMCP1_LA08_P            F25            IO_L8P_N2P4_M3P70_710                -
G13     FMCP1_LA08_N            E25            IO_L8N_N2P5_M3P71_710                -
D14     FMCP1_LA09_P            R28            IO_L16P_N5P2_M3P86_710               -
D15     FMCP1_LA09_N            P28            IO_L16N_N5P3_M3P87_710               -
C14     FMCP1_LA10_P            R27            IO_L15P_XCC_N5P0_M3P84_710           -
C15     FMCP1_LA10_N            P27            IO_L15N_XCC_N5P1_M3P85_710           -
H16     FMCP1_LA11_P            D28            IO_L4P_N1P2_M3P62_710                -
H17     FMCP1_LA11_N            C27            IO_L4N_N1P3_M3P63_710                -
G15     FMCP1_LA12_P            E27            IO_L7P_N2P2_M3P68_710                -
G16     FMCP1_LA12_N            E26            IO_L7N_N2P3_M3P69_710                -
D17     FMCP1_LA13_P            D27            IO_L3P_XCC_N1P0_M3P60_710            -
D18     FMCP1_LA13_N            C26            IO_L3N_XCC_N1P1_M3P61_710            -
C18     FMCP1_LA14_P            B27            IO_L10P_N3P2_M3P74_710               -
C19     FMCP1_LA14_N            A26            IO_L10N_N3P3_M3P75_710               -
H19     FMCP1_LA15_P            B28            IO_L5P_N1P4_M3P64_710                -
H20     FMCP1_LA15_N            A28            IO_L5N_N1P5_M3P65_710                -
G18     FMCP1_LA16_P            B26            IO_L11P_N3P4_M3P76_710               -
G19     FMCP1_LA16_N            A25            IO_L11N_N3P5_M3P77_710               -
D20     FMCP1_LA17_CC_P         K23            IO_L6P_GC_XCC_N2P0_M3P12_709         -
D21     FMCP1_LA17_CC_N         J23            IO_L6N_GC_XCC_N2P1_M3P13_709         -
C22     FMCP1_LA18_CC_P         F24            IO_L9P_GC_XCC_N3P0_M3P18_709         -
C23     FMCP1_LA18_CC_N         F23            IO_L9N_GC_XCC_N3P1_M3P19_709         -
H22     FMCP1_LA19_P            R22            IO_L13P_N4P2_M3P26_709               -
H23     FMCP1_LA19_N            P23            IO_L13N_N4P3_M3P27_709               -
G21     FMCP1_LA20_P            R23            IO_L14P_N4P4_M3P28_709               -
G22     FMCP1_LA20_N            P24            IO_L14N_N4P5_M3P29_709               -
H25     FMCP1_LA21_P            B23            IO_L4P_N1P2_M3P8_709                 -
H26     FMCP1_LA21_N            A23            IO_L4N_N1P3_M3P9_709                 -
G24     FMCP1_LA22_P            B24            IO_L5P_N1P4_M3P10_709                -
G25     FMCP1_LA22_N            A24            IO_L5N_N1P5_M3P11_709                -
D23     FMCP1_LA23_P            C22            IO_L2P_N0P4_M3P4_709                 -
D24     FMCP1_LA23_N            B22            IO_L2N_N0P5_M3P5_709                 -
H28     FMCP1_LA24_P            E23            IO_L11P_N3P4_M3P22_709               -
H29     FMCP1_LA24_N            D23            IO_L11N_N3P5_M3P23_709               -
G27     FMCP1_LA25_P            D24            IO_L1P_N0P2_M3P2_709                 -
G28     FMCP1_LA25_N            C24            IO_L1N_N0P3_M3P3_709                 -
D26     FMCP1_LA26_P            B21            IO_L3P_XCC_N1P0_M3P6_709             -
D27     FMCP1_LA26_N            A21            IO_L3N_XCC_N1P1_M3P7_709             -
C26     FMCP1_LA27_P            D22            IO_L0P_XCC_N0P0_M3P0_709             -
C27     FMCP1_LA27_N            C21            IO_L0N_XCC_N0P1_M3P1_709             -
H31     FMCP1_LA28_P            N24            IO_L16P_N5P2_M3P32_709               -
H32     FMCP1_LA28_N            M23            IO_L16N_N5P3_M3P33_709               -
G30     FMCP1_LA29_P            G23            IO_L8P_N2P4_M3P16_709                -
G31     FMCP1_LA29_N            G22            IO_L8N_N2P5_M3P17_709                -
H34     FMCP1_LA30_P            N21            IO_L17P_N5P4_M3P34_709               -
H35     FMCP1_LA30_N            M21            IO_L17N_N5P5_M3P35_709               -
G33     FMCP1_LA31_P            N22            IO_L15P_XCC_N5P0_M3P30_709           -
G34     FMCP1_LA31_N            M22            IO_L15N_XCC_N5P1_M3P31_709           -
H37     FMCP1_LA32_P            E22            IO_L10P_N3P2_M3P20_709               -
H38     FMCP1_LA32_N            E21            IO_L10N_N3P3_M3P21_709               -
G36     FMCP1_LA33_P            J22            IO_L7P_N2P2_M3P14_709                -
G37     FMCP1_LA33_N            H22            IO_L7N_N2P3_M3P15_709                -
L16     FMCP1_SYNC_C2M_P        R20            IO_L23P_N7P4_M3P46_709               -
L17     FMCP1_SYNC_C2M_N        P20            IO_L23N_N7P5_M3P47_709               -
L28     FMCP1_SYNC_M2C_P        M24            IO_L24P_GC_XCC_N8P0_M3P48_709        -
L29     FMCP1_SYNC_M2C_N        L24            IO_L24N_GC_XCC_N8P1_M3P49_709        -
D4      FMCP1_GBTCLK0_M2C_C_P   AU47           GTYP_REFCLKP1_200                    -
