FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                       Comments

H4      FMC_CLK0_M2C_P        AE22      IO_L12P_T1_MRCC_11                   -
H5      FMC_CLK0_M2C_N        AF22      IO_L12N_T1_MRCC_11                   -
G2      FMC_CLK1_M2C_P        U26       IO_L12P_T1_MRCC_13                   -
G3      FMC_CLK1_M2C_N        U27       IO_L12N_T1_MRCC_13                   -
B1      CLK_DIR               #N/A      #N/A                                 -
K4      CLK2_IO_P             #N/A      #N/A                                 -
K5      CLK2_IO_N             #N/A      #N/A                                 -
J2      CLK3_IO_P             #N/A      #N/A                                 -
J3      CLK3_IO_N             #N/A      #N/A                                 -
G6      FMC_LA00_CC_P         AF20      IO_L14P_T2_SRCC_11                   -
G7      FMC_LA00_CC_N         AG20      IO_L14N_T2_SRCC_11                   -
D8      FMC_LA01_CC_P         AG21      IO_L13P_T2_MRCC_11                   -
D9      FMC_LA01_CC_N         AH21      IO_L13N_T2_MRCC_11                   -
H7      FMC_LA02_P            AK17      IO_L16P_T2_11                        -
H8      FMC_LA02_N            AK18      IO_L16N_T2_11                        -
G9      FMC_LA03_P            AH19      IO_L17P_T2_11                        -
G10     FMC_LA03_N            AJ19      IO_L17N_T2_11                        -
H10     FMC_LA04_P            AJ20      IO_L15P_T2_DQS_11                    -
H11     FMC_LA04_N            AK20      IO_L15N_T2_DQS_11                    -
D11     FMC_LA05_P            AH23      IO_L5P_T0_11                         -
D12     FMC_LA05_N            AH24      IO_L5N_T0_11                         -
C10     FMC_LA06_P            AG22      IO_L6P_T0_11                         -
C11     FMC_LA06_N            AH22      IO_L6N_T0_VREF_11                    -
H13     FMC_LA07_P            AJ23      IO_L4P_T0_11                         -
H14     FMC_LA07_N            AJ24      IO_L4N_T0_11                         -
G12     FMC_LA08_P            AF19      IO_L18P_T2_11                        -
G13     FMC_LA08_N            AG19      IO_L18N_T2_11                        -
D14     FMC_LA09_P            AD21      IO_L10P_T1_11                        -
D15     FMC_LA09_N            AE21      IO_L10N_T1_11                        -
C14     FMC_LA10_P            AG24      IO_L8P_T1_11                         -
C15     FMC_LA10_N            AG25      IO_L8N_T1_11                         -
H16     FMC_LA11_P            AD23      IO_L11P_T1_SRCC_11                   -
H17     FMC_LA11_N            AE23      IO_L11N_T1_SRCC_11                   -
G15     FMC_LA12_P            AF23      IO_L9P_T1_DQS_11                     -
G16     FMC_LA12_N            AF24      IO_L9N_T1_DQS_11                     -
D17     FMC_LA13_P            AA22      IO_L23P_T3_11                        -
D18     FMC_LA13_N            AA23      IO_L23N_T3_11                        -
C18     FMC_LA14_P            AC24      IO_L7P_T1_11                         -
C19     FMC_LA14_N            AD24      IO_L7N_T1_11                         -
H19     FMC_LA15_P            Y22       IO_L21P_T3_DQS_11                    -
H20     FMC_LA15_N            Y23       IO_L21N_T3_DQS_11                    -
G18     FMC_LA16_P            AA24      IO_L22P_T3_11                        -
G19     FMC_LA16_N            AB24      IO_L22N_T3_11                        -
D20     FMC_LA17_CC_P         V23       IO_L24P_T3_13                        -
D21     FMC_LA17_CC_N         W24       IO_L24N_T3_13                        -
C22     FMC_LA18_CC_P         W25       IO_L10P_T1_13                        -
C23     FMC_LA18_CC_N         W26       IO_L10N_T1_13                        -
H22     FMC_LA19_P            T24       IO_L17P_T2_13                        -
H23     FMC_LA19_N            T25       IO_L17N_T2_13                        -
G21     FMC_LA20_P            U25       IO_L11P_T1_SRCC_13                   -
G22     FMC_LA20_N            V26       IO_L11N_T1_SRCC_13                   -
H25     FMC_LA21_P            W29       IO_L8P_T1_13                         -
H26     FMC_LA21_N            W30       IO_L8N_T1_13                         -
G24     FMC_LA22_P            V27       IO_L9P_T1_DQS_13                     -
G25     FMC_LA22_N            W28       IO_L9N_T1_DQS_13                     -
D23     FMC_LA23_P            P25       IO_L16P_T2_13                        -
D24     FMC_LA23_N            P26       IO_L16N_T2_13                        -
H28     FMC_LA24_P            T30       IO_L2P_T0_13                         -
H29     FMC_LA24_N            U30       IO_L2N_T0_13                         -
G27     FMC_LA25_P            T29       IO_L5P_T0_13                         -
G28     FMC_LA25_N            U29       IO_L5N_T0_13                         -
D26     FMC_LA26_P            R28       IO_L6P_T0_13                         -
D27     FMC_LA26_N            T28       IO_L6N_T0_VREF_13                    -
C26     FMC_LA27_P            V28       IO_L7P_T1_13                         -
C27     FMC_LA27_N            V29       IO_L7N_T1_13                         -
H31     FMC_LA28_P            P30       IO_L1P_T0_13                         -
H32     FMC_LA28_N            R30       IO_L1N_T0_13                         -
G30     FMC_LA29_P            R25       IO_L13P_T2_MRCC_13                   -
G31     FMC_LA29_N            R26       IO_L13N_T2_MRCC_13                   -
H34     FMC_LA30_P            P23       IO_L18P_T2_13                        -
H35     FMC_LA30_N            P24       IO_L18N_T2_13                        -
G33     FMC_LA31_P            N29       IO_L4P_T0_13                         -
G34     FMC_LA31_N            P29       IO_L4N_T0_13                         -
H37     FMC_LA32_P            P21       IO_L19P_T3_13                        -
H38     FMC_LA32_N            R21       IO_L19N_T3_VREF_13                   -
G36     FMC_LA33_P            N26       IO_L15P_T2_DQS_13                    -
G37     FMC_LA33_N            N27       IO_L15N_T2_DQS_13                    -
F4      FMC_HA00_CC_P         #N/A      #N/A                                 -
F5      FMC_HA00_CC_N         #N/A      #N/A                                 -
E2      FMC_HA01_CC_P         #N/A      #N/A                                 -
E3      FMC_HA01_CC_N         #N/A      #N/A                                 -
K7      FMC_HA02_P            #N/A      #N/A                                 -
K8      FMC_HA02_N            #N/A      #N/A                                 -
J6      FMC_HA03_P            #N/A      #N/A                                 -
J7      FMC_HA03_N            #N/A      #N/A                                 -
F7      FMC_HA04_P            #N/A      #N/A                                 -
F8      FMC_HA04_N            #N/A      #N/A                                 -
E6      FMC_HA05_P            #N/A      #N/A                                 -
E7      FMC_HA05_N            #N/A      #N/A                                 -
K10     FMC_HA06_P            #N/A      #N/A                                 -
K11     FMC_HA06_N            #N/A      #N/A                                 -
J9      FMC_HA07_P            #N/A      #N/A                                 -
J10     FMC_HA07_N            #N/A      #N/A                                 -
F10     FMC_HA08_P            #N/A      #N/A                                 -
F11     FMC_HA08_N            #N/A      #N/A                                 -
E9      FMC_HA09_P            #N/A      #N/A                                 -
E10     FMC_HA09_N            #N/A      #N/A                                 -
K13     FMC_HA10_P            #N/A      #N/A                                 -
K14     FMC_HA10_N            #N/A      #N/A                                 -
J12     FMC_HA11_P            #N/A      #N/A                                 -
J13     FMC_HA11_N            #N/A      #N/A                                 -
F13     FMC_HA12_P            #N/A      #N/A                                 -
F14     FMC_HA12_N            #N/A      #N/A                                 -
E12     FMC_HA13_P            #N/A      #N/A                                 -
E13     FMC_HA13_N            #N/A      #N/A                                 -
J15     FMC_HA14_P            #N/A      #N/A                                 -
J16     FMC_HA14_N            #N/A      #N/A                                 -
F16     FMC_HA15_P            #N/A      #N/A                                 -
F17     FMC_HA15_N            #N/A      #N/A                                 -
E15     FMC_HA16_P            #N/A      #N/A                                 -
E16     FMC_HA16_N            #N/A      #N/A                                 -
K16     FMC_HA17_CC_P         #N/A      #N/A                                 -
K17     FMC_HA17_CC_N         #N/A      #N/A                                 -
J18     FMC_HA18_P            #N/A      #N/A                                 -
J19     FMC_HA18_N            #N/A      #N/A                                 -
F19     FMC_HA19_P            #N/A      #N/A                                 -
F20     FMC_HA19_N            #N/A      #N/A                                 -
E18     FMC_HA20_P            #N/A      #N/A                                 -
E19     FMC_HA20_N            #N/A      #N/A                                 -
K19     FMC_HA21_P            #N/A      #N/A                                 -
K20     FMC_HA21_N            #N/A      #N/A                                 -
J21     FMC_HA22_P            #N/A      #N/A                                 -
J22     FMC_HA22_N            #N/A      #N/A                                 -
K22     FMC_HA23_P            #N/A      #N/A                                 -
K23     FMC_HA23_N            #N/A      #N/A                                 -
K25     FMC_HB00_CC_P         #N/A      #N/A                                 -
K26     FMC_HB00_CC_N         #N/A      #N/A                                 -
J24     FMC_HB01_P            #N/A      #N/A                                 -
J25     FMC_HB01_N            #N/A      #N/A                                 -
F22     FMC_HB02_P            #N/A      #N/A                                 -
F23     FMC_HB02_N            #N/A      #N/A                                 -
E21     FMC_HB03_P            #N/A      #N/A                                 -
E22     FMC_HB03_N            #N/A      #N/A                                 -
F25     FMC_HB04_P            #N/A      #N/A                                 -
F26     FMC_HB04_N            #N/A      #N/A                                 -
E24     FMC_HB05_P            #N/A      #N/A                                 -
E25     FMC_HB05_N            #N/A      #N/A                                 -
K28     FMC_HB06_CC_P         #N/A      #N/A                                 -
K29     FMC_HB06_CC_N         #N/A      #N/A                                 -
J27     FMC_HB07_P            #N/A      #N/A                                 -
J28     FMC_HB07_N            #N/A      #N/A                                 -
F28     FMC_HB08_P            #N/A      #N/A                                 -
F29     FMC_HB08_N            #N/A      #N/A                                 -
E27     FMC_HB09_P            #N/A      #N/A                                 -
E28     FMC_HB09_N            #N/A      #N/A                                 -
K31     FMC_HB10_P            #N/A      #N/A                                 -
K32     FMC_HB10_N            #N/A      #N/A                                 -
J30     FMC_HB11_P            #N/A      #N/A                                 -
J31     FMC_HB11_N            #N/A      #N/A                                 -
F31     FMC_HB12_P            #N/A      #N/A                                 -
F32     FMC_HB12_N            #N/A      #N/A                                 -
E30     FMC_HB13_P            #N/A      #N/A                                 -
E31     FMC_HB13_N            #N/A      #N/A                                 -
K34     FMC_HB14_P            #N/A      #N/A                                 -
K35     FMC_HB14_N            #N/A      #N/A                                 -
J33     FMC_HB15_P            #N/A      #N/A                                 -
J34     FMC_HB15_N            #N/A      #N/A                                 -
F34     FMC_HB16_P            #N/A      #N/A                                 -
F35     FMC_HB16_N            #N/A      #N/A                                 -
K37     FMC_HB17_CC_P         #N/A      #N/A                                 -
K38     FMC_HB17_CC_N         #N/A      #N/A                                 -
J36     FMC_HB18_P            #N/A      #N/A                                 -
J37     FMC_HB18_N            #N/A      #N/A                                 -
E33     FMC_HB19_P            #N/A      #N/A                                 -
E34     FMC_HB19_N            #N/A      #N/A                                 -
F37     FMC_HB20_P            #N/A      #N/A                                 -
F38     FMC_HB20_N            #N/A      #N/A                                 -
E36     FMC_HB21_P            #N/A      #N/A                                 -
E37     FMC_HB21_N            #N/A      #N/A                                 -
D4      FMC_GBTCLK0_M2C_P     AD10      MGTREFCLK0P_109                      -
D5      FMC_GBTCLK0_M2C_N     AD9       MGTREFCLK0N_109                      -
B20     FMC_GBTCLK1_M2C_P     AA8       MGTREFCLK0P_110                      -
B21     FMC_GBTCLK1_M2C_N     AA7       MGTREFCLK0N_110                      -
C2      FMC_DP0_C2M_P         AK10      MGTXTXP0_109                         -
C3      FMC_DP0_C2M_N         AK9       MGTXTXN0_109                         -
C6      FMC_DP0_M2C_P         AH10      MGTXRXP0_109                         -
C7      FMC_DP0_M2C_N         AH9       MGTXRXN0_109                         -
A22     FMC_DP1_C2M_P         AK6       MGTXTXP1_109                         -
A23     FMC_DP1_C2M_N         AK5       MGTXTXN1_109                         -
A2      FMC_DP1_M2C_P         AJ8       MGTXRXP1_109                         -
A3      FMC_DP1_M2C_N         AJ7       MGTXRXN1_109                         -
A26     FMC_DP2_C2M_P         AJ4       MGTXTXP2_109                         -
