FMC_pin FMC_port_name         FPGA_pin       FPGA_port_name                       Comments

H4      FMC0_CLK0_M2C_P       AA7            IO_L12P_T1U_N10_GC_66                -
H5      FMC0_CLK0_M2C_N       AA6            IO_L12N_T1U_N11_GC_66                -
G2      FMC0_CLK1_M2C_P       T8             IO_L12P_T1U_N10_GC_67                -
G3      FMC0_CLK1_M2C_N       R8             IO_L12N_T1U_N11_GC_67                -
B1      CLK_DIR               #N/A           #N/A                                 -
K4      CLK2_IO_P             #N/A           #N/A                                 -
K5      CLK2_IO_N             #N/A           #N/A                                 -
J2      CLK3_IO_P             #N/A           #N/A                                 -
J3      CLK3_IO_N             #N/A           #N/A                                 -
G6      FMC0_LA00_CC_P        Y4             IO_L13P_T2L_N0_GC_QBC_66             -
G7      FMC0_LA00_CC_N        Y3             IO_L13N_T2L_N1_GC_QBC_66             -
D8      FMC0_LA01_CC_P        AB4            IO_L16P_T2U_N6_QBC_AD3P_66           -
D9      FMC0_LA01_CC_N        AC4            IO_L16N_T2U_N7_QBC_AD3N_66           -
H7      FMC0_LA02_P           V2             IO_L23P_T3U_N8_66                    -
H8      FMC0_LA02_N           V1             IO_L23N_T3U_N9_66                    -
G9      FMC0_LA03_P           Y2             IO_L22P_T3U_N6_DBC_AD0P_66           -
G10     FMC0_LA03_N           Y1             IO_L22N_T3U_N7_DBC_AD0N_66           -
H10     FMC0_LA04_P           AA2            IO_L21P_T3L_N4_AD8P_66               -
H11     FMC0_LA04_N           AA1            IO_L21N_T3L_N5_AD8N_66               -
D11     FMC0_LA05_P           AB3            IO_L20P_T3L_N2_AD1P_66               -
D12     FMC0_LA05_N           AC3            IO_L20N_T3L_N3_AD1N_66               -
C10     FMC0_LA06_P           AC2            IO_L19P_T3L_N0_DBC_AD9P_66           -
C11     FMC0_LA06_N           AC1            IO_L19N_T3L_N1_DBC_AD9N_66           -
H13     FMC0_LA07_P           U5             IO_L18P_T2U_N10_AD2P_66              -
H14     FMC0_LA07_N           U4             IO_L18N_T2U_N11_AD2N_66              -
G12     FMC0_LA08_P           V4             IO_L17P_T2U_N8_AD10P_66              -
G13     FMC0_LA08_N           V3             IO_L17N_T2U_N9_AD10N_66              -
D14     FMC0_LA09_P           W2             IO_L24P_T3U_N10_66                   -
D15     FMC0_LA09_N           W1             IO_L24N_T3U_N11_66                   -
C14     FMC0_LA10_P           W5             IO_L15P_T2L_N4_AD11P_66              -
C15     FMC0_LA10_N           W4             IO_L15N_T2L_N5_AD11N_66              -
H16     FMC0_LA11_P           AB6            IO_L10P_T1U_N6_QBC_AD4P_66           -
H17     FMC0_LA11_N           AB5            IO_L10N_T1U_N7_QBC_AD4N_66           -
G15     FMC0_LA12_P           W7             IO_L9P_T1L_N4_AD12P_66               -
G16     FMC0_LA12_N           W6             IO_L9N_T1L_N5_AD12N_66               -
D17     FMC0_LA13_P           AB8            IO_L8P_T1L_N2_AD5P_66                -
D18     FMC0_LA13_N           AC8            IO_L8N_T1L_N3_AD5N_66                -
C18     FMC0_LA14_P           AC7            IO_L7P_T1L_N0_QBC_AD13P_66           -
C19     FMC0_LA14_N           AC6            IO_L7N_T1L_N1_QBC_AD13N_66           -
H19     FMC0_LA15_P           Y10            IO_L6P_T0U_N10_AD6P_66               -
H20     FMC0_LA15_N           Y9             IO_L6N_T0U_N11_AD6N_66               -
G18     FMC0_LA16_P           Y12            IO_L5P_T0U_N8_AD14P_66               -
G19     FMC0_LA16_N           AA12           IO_L5N_T0U_N9_AD14N_66               -
D20     FMC0_LA17_CC_P        P11            IO_L13P_T2L_N0_GC_QBC_67             -
D21     FMC0_LA17_CC_N        N11            IO_L13N_T2L_N1_GC_QBC_67             -
C22     FMC0_LA18_CC_P        N9             IO_L16P_T2U_N6_QBC_AD3P_67           -
C23     FMC0_LA18_CC_N        N8             IO_L16N_T2U_N7_QBC_AD3N_67           -
H22     FMC0_LA19_P           L13            IO_L23P_T3U_N8_67                    -
H23     FMC0_LA19_N           K13            IO_L23N_T3U_N9_67                    -
G21     FMC0_LA20_P           N13            IO_L22P_T3U_N6_DBC_AD0P_67           -
G22     FMC0_LA20_N           M13            IO_L22N_T3U_N7_DBC_AD0N_67           -
H25     FMC0_LA21_P           P12            IO_L21P_T3L_N4_AD8P_67               -
H26     FMC0_LA21_N           N12            IO_L21N_T3L_N5_AD8N_67               -
G24     FMC0_LA22_P           M15            IO_L20P_T3L_N2_AD1P_67               -
G25     FMC0_LA22_N           M14            IO_L20N_T3L_N3_AD1N_67               -
D23     FMC0_LA23_P           L16            IO_L19P_T3L_N0_DBC_AD9P_67           -
D24     FMC0_LA23_N           K16            IO_L19N_T3L_N1_DBC_AD9N_67           -
H28     FMC0_LA24_P           L12            IO_L18P_T2U_N10_AD2P_67              -
H29     FMC0_LA24_N           K12            IO_L18N_T2U_N11_AD2N_67              -
G27     FMC0_LA25_P           M11            IO_L17P_T2U_N8_AD10P_67              -
G28     FMC0_LA25_N           L11            IO_L17N_T2U_N9_AD10N_67              -
D26     FMC0_LA26_P           L15            IO_L24P_T3U_N10_67                   -
D27     FMC0_LA26_N           K15            IO_L24N_T3U_N11_67                   -
C26     FMC0_LA27_P           M10            IO_L15P_T2L_N4_AD11P_67              -
C27     FMC0_LA27_N           L10            IO_L15N_T2L_N5_AD11N_67              -
H31     FMC0_LA28_P           T7             IO_L10P_T1U_N6_QBC_AD4P_67           -
H32     FMC0_LA28_N           T6             IO_L10N_T1U_N7_QBC_AD4N_67           -
G30     FMC0_LA29_P           U9             IO_L9P_T1L_N4_AD12P_67               -
G31     FMC0_LA29_N           U8             IO_L9N_T1L_N5_AD12N_67               -
H34     FMC0_LA30_P           V6             IO_L8P_T1L_N2_AD5P_67                -
H35     FMC0_LA30_N           U6             IO_L8N_T1L_N3_AD5N_67                -
G33     FMC0_LA31_P           V8             IO_L7P_T1L_N0_QBC_AD13P_67           -
G34     FMC0_LA31_N           V7             IO_L7N_T1L_N1_QBC_AD13N_67           -
H37     FMC0_LA32_P           U11            IO_L6P_T0U_N10_AD6P_67               -
H38     FMC0_LA32_N           T11            IO_L6N_T0U_N11_AD6N_67               -
G36     FMC0_LA33_P           V12            IO_L5P_T0U_N8_AD14P_67               -
G37     FMC0_LA33_N           V11            IO_L5N_T0U_N9_AD14N_67               -
F4      FMC0_HA00_CC_P        #N/A           #N/A                                 -
F5      FMC0_HA00_CC_N        #N/A           #N/A                                 -
E2      FMC0_HA01_CC_P        #N/A           #N/A                                 -
E3      FMC0_HA01_CC_N        #N/A           #N/A                                 -
K7      FMC0_HA02_P           #N/A           #N/A                                 -
K8      FMC0_HA02_N           #N/A           #N/A                                 -
J6      FMC0_HA03_P           #N/A           #N/A                                 -
J7      FMC0_HA03_N           #N/A           #N/A                                 -
F7      FMC0_HA04_P           #N/A           #N/A                                 -
F8      FMC0_HA04_N           #N/A           #N/A                                 -
E6      FMC0_HA05_P           #N/A           #N/A                                 -
E7      FMC0_HA05_N           #N/A           #N/A                                 -
K10     FMC0_HA06_P           #N/A           #N/A                                 -
K11     FMC0_HA06_N           #N/A           #N/A                                 -
J9      FMC0_HA07_P           #N/A           #N/A                                 -
J10     FMC0_HA07_N           #N/A           #N/A                                 -
F10     FMC0_HA08_P           #N/A           #N/A                                 -
F11     FMC0_HA08_N           #N/A           #N/A                                 -
E9      FMC0_HA09_P           #N/A           #N/A                                 -
E10     FMC0_HA09_N           #N/A           #N/A                                 -
K13     FMC0_HA10_P           #N/A           #N/A                                 -
K14     FMC0_HA10_N           #N/A           #N/A                                 -
J12     FMC0_HA11_P           #N/A           #N/A                                 -
J13     FMC0_HA11_N           #N/A           #N/A                                 -
F13     FMC0_HA12_P           #N/A           #N/A                                 -
F14     FMC0_HA12_N           #N/A           #N/A                                 -
E12     FMC0_HA13_P           #N/A           #N/A                                 -
E13     FMC0_HA13_N           #N/A           #N/A                                 -
J15     FMC0_HA14_P           #N/A           #N/A                                 -
J16     FMC0_HA14_N           #N/A           #N/A                                 -
F16     FMC0_HA15_P           #N/A           #N/A                                 -
F17     FMC0_HA15_N           #N/A           #N/A                                 -
E15     FMC0_HA16_P           #N/A           #N/A                                 -
E16     FMC0_HA16_N           #N/A           #N/A                                 -
K16     FMC0_HA17_CC_P        #N/A           #N/A                                 -
K17     FMC0_HA17_CC_N        #N/A           #N/A                                 -
J18     FMC0_HA18_P           #N/A           #N/A                                 -
J19     FMC0_HA18_N           #N/A           #N/A                                 -
F19     FMC0_HA19_P           #N/A           #N/A                                 -
F20     FMC0_HA19_N           #N/A           #N/A                                 -
E18     FMC0_HA20_P           #N/A           #N/A                                 -
E19     FMC0_HA20_N           #N/A           #N/A                                 -
K19     FMC0_HA21_P           #N/A           #N/A                                 -
K20     FMC0_HA21_N           #N/A           #N/A                                 -
J21     FMC0_HA22_P           #N/A           #N/A                                 -
J22     FMC0_HA22_N           #N/A           #N/A                                 -
K22     FMC0_HA23_P           #N/A           #N/A                                 -
K23     FMC0_HA23_N           #N/A           #N/A                                 -
K25     FMC0_HB00_CC_P        #N/A           #N/A                                 -
K26     FMC0_HB00_CC_N        #N/A           #N/A                                 -
J24     FMC0_HB01_P           #N/A           #N/A                                 -
J25     FMC0_HB01_N           #N/A           #N/A                                 -
F22     FMC0_HB02_P           #N/A           #N/A                                 -
F23     FMC0_HB02_N           #N/A           #N/A                                 -
E21     FMC0_HB03_P           #N/A           #N/A                                 -
E22     FMC0_HB03_N           #N/A           #N/A                                 -
F25     FMC0_HB04_P           #N/A           #N/A                                 -
F26     FMC0_HB04_N           #N/A           #N/A                                 -
E24     FMC0_HB05_P           #N/A           #N/A                                 -
E25     FMC0_HB05_N           #N/A           #N/A                                 -
K28     FMC0_HB06_CC_P        #N/A           #N/A                                 -
K29     FMC0_HB06_CC_N        #N/A           #N/A                                 -
J27     FMC0_HB07_P           #N/A           #N/A                                 -
J28     FMC0_HB07_N           #N/A           #N/A                                 -
F28     FMC0_HB08_P           #N/A           #N/A                                 -
F29     FMC0_HB08_N           #N/A           #N/A                                 -
E27     FMC0_HB09_P           #N/A           #N/A                                 -
E28     FMC0_HB09_N           #N/A           #N/A                                 -
K31     FMC0_HB10_P           #N/A           #N/A                                 -
K32     FMC0_HB10_N           #N/A           #N/A                                 -
J30     FMC0_HB11_P           #N/A           #N/A                                 -
J31     FMC0_HB11_N           #N/A           #N/A                                 -
F31     FMC0_HB12_P           #N/A           #N/A                                 -
F32     FMC0_HB12_N           #N/A           #N/A                                 -
E30     FMC0_HB13_P           #N/A           #N/A                                 -
E31     FMC0_HB13_N           #N/A           #N/A                                 -
K34     FMC0_HB14_P           #N/A           #N/A                                 -
K35     FMC0_HB14_N           #N/A           #N/A                                 -
J33     FMC0_HB15_P           #N/A           #N/A                                 -
J34     FMC0_HB15_N           #N/A           #N/A                                 -
F34     FMC0_HB16_P           #N/A           #N/A                                 -
F35     FMC0_HB16_N           #N/A           #N/A                                 -
K37     FMC0_HB17_CC_P        #N/A           #N/A                                 -
K38     FMC0_HB17_CC_N        #N/A           #N/A                                 -
