FMC_pin  FMC_port_name          FPGA_pin       FPGA_port_name                       Comments

H4       FMC1_CLK0_M2C_P        AE7            IO_L12P_T1U_N10_GC_65                -
H5       FMC1_CLK0_M2C_N        AF7            IO_L12N_T1U_N11_GC_65                -
G2       FMC1_CLK1_M2C_P        P10            IO_L14P_T2L_N2_GC_67                 -
G3       FMC1_CLK1_M2C_N        P9             IO_L14N_T2L_N3_GC_67                 -
B1       CLK_DIR                #N/A           #N/A                                 -
K4       CLK2_IO_P              #N/A           #N/A                                 -
K5       CLK2_IO_N              #N/A           #N/A                                 -
J2       CLK3_IO_P              #N/A           #N/A                                 -
J3       CLK3_IO_N              #N/A           #N/A                                 -
G6       FMC1_LA00_CC_P         AE5            IO_L13P_T2L_N0_GC_QBC_65             -
G7       FMC1_LA00_CC_N         AF5            IO_L13N_T2L_N1_GC_QBC_65             -
D8       FMC1_LA01_CC_P         AJ6            IO_L16P_T2U_N6_QBC_AD3P_65           -
D9       FMC1_LA01_CC_N         AJ5            IO_L16N_T2U_N7_QBC_AD3N_65           -
H7       FMC1_LA02_P            AD2            IO_L23P_T3U_N8_I2C_SCLK_65           -
H8       FMC1_LA02_N            AD1            IO_L23N_T3U_N9_65                    -
G9       FMC1_LA03_P            AH1            IO_L22P_T3U_N6_DBC_AD0P_65           -
G10      FMC1_LA03_N            AJ1            IO_L22N_T3U_N7_DBC_AD0N_65           -
H10      FMC1_LA04_P            AF2            IO_L21P_T3L_N4_AD8P_65               -
H11      FMC1_LA04_N            AF1            IO_L21N_T3L_N5_AD8N_65               -
D11      FMC1_LA05_P            AG3            IO_L20P_T3L_N2_AD1P_65               -
D12      FMC1_LA05_N            AH3            IO_L20N_T3L_N3_AD1N_65               -
C10      FMC1_LA06_P            AH2            IO_L19P_T3L_N0_DBC_AD9P_65           -
C11      FMC1_LA06_N            AJ2            IO_L19N_T3L_N1_DBC_AD9N_65           -
H13      FMC1_LA07_P            AD4            IO_L18P_T2U_N10_AD2P_65              -
H14      FMC1_LA07_N            AE4            IO_L18N_T2U_N11_AD2N_65              -
G12      FMC1_LA08_P            AE3            IO_L17P_T2U_N8_AD10P_65              -
G13      FMC1_LA08_N            AF3            IO_L17N_T2U_N9_AD10N_65              -
D14      FMC1_LA09_P            AE2            IO_L24P_T3U_N10_PERSTN1_I2C_SDA_65   -
D15      FMC1_LA09_N            AE1            IO_L24N_T3U_N11_PERSTN0_65           -
C14      FMC1_LA10_P            AH4            IO_L15P_T2L_N4_AD11P_65              -
C15      FMC1_LA10_N            AJ4            IO_L15N_T2L_N5_AD11N_65              -
H16      FMC1_LA11_P            AE8            IO_L10P_T1U_N6_QBC_AD4P_65           -
H17      FMC1_LA11_N            AF8            IO_L10N_T1U_N7_QBC_AD4N_65           -
G15      FMC1_LA12_P            AD7            IO_L9P_T1L_N4_AD12P_65               -
G16      FMC1_LA12_N            AD6            IO_L9N_T1L_N5_AD12N_65               -
D17      FMC1_LA13_P            AG8            IO_L8P_T1L_N2_AD5P_65                -
D18      FMC1_LA13_N            AH8            IO_L8N_T1L_N3_AD5N_65                -
C18      FMC1_LA14_P            AH7            IO_L7P_T1L_N0_QBC_AD13P_65           -
C19      FMC1_LA14_N            AH6            IO_L7N_T1L_N1_QBC_AD13N_65           -
H19      FMC1_LA15_P            AD10           IO_L6P_T0U_N10_AD6P_65               -
H20      FMC1_LA15_N            AE9            IO_L6N_T0U_N11_AD6N_65               -
G18      FMC1_LA16_P            AG10           IO_L5P_T0U_N8_AD14P_65               -
G19      FMC1_LA16_N            AG9            IO_L5N_T0U_N9_AD14N_65               -
D20      FMC1_LA17_CC_P         Y5             IO_L14P_T2L_N2_GC_66                 -
D21      FMC1_LA17_CC_N         AA5            IO_L14N_T2L_N3_GC_66                 -
C22      FMC1_LA18_CC_P         Y8             IO_L11N_T1U_N9_GC_66                 -
C23      FMC1_LA18_CC_N         Y7             IO_L11N_T1U_N9_GC_66                 -
H22      FMC1_LA19_P            AA11           IO_L3P_T0L_N4_AD15P_66               -
H23      FMC1_LA19_N            AA10           IO_L3N_T0L_N5_AD15N_66               -
