FMC_pin  FMC_port_name             FPGA_pin  FPGA_port_name              Comments  
     
H5       FMC_HPC0_CLK0_M2C_N       E14       IO_L12N_T1U_N11_GC_67       -         
H4       FMC_HPC0_CLK0_M2C_P       E15       IO_L12P_T1U_N10_GC_67       -         
G3       FMC_HPC0_CLK1_M2C_N       F10       IO_L12N_T1U_N11_GC_68       -         
G2       FMC_HPC0_CLK1_M2C_P       G10       IO_L12P_T1U_N10_GC_68       -         
G7       FMC_HPC0_LA00_CC_N        F16       IO_L13N_T2L_N1_GC_QBC_67    -         
G6       FMC_HPC0_LA00_CC_P        F17       IO_L13P_T2L_N0_GC_QBC_67    -         
D9       FMC_HPC0_LA01_CC_N        H17       IO_L16N_T2U_N7_QBC_AD3N_67  -         
D8       FMC_HPC0_LA01_CC_P        H18       IO_L16P_T2U_N6_QBC_AD3P_67  -         
H8       FMC_HPC0_LA02_N           K20       IO_L19N_T3L_N1_DBC_AD9N_67  -         
H7       FMC_HPC0_LA02_P           L20       IO_L19P_T3L_N0_DBC_AD9P_67  -         
G10      FMC_HPC0_LA03_N           K18       IO_L23N_T3U_N9_67           -         
G9       FMC_HPC0_LA03_P           K19       IO_L23P_T3U_N8_67           -         
H11      FMC_HPC0_LA04_N           L16       IO_L24N_T3U_N11_67          -         
H10      FMC_HPC0_LA04_P           L17       IO_L24P_T3U_N10_67          -         
D12      FMC_HPC0_LA05_N           J17       IO_L21N_T3L_N5_AD8N_67      -         
D11      FMC_HPC0_LA05_P           K17       IO_L21P_T3L_N4_AD8P_67      -         
C11      FMC_HPC0_LA06_N           G19       IO_L15N_T2L_N5_AD11N_67     -         
C10      FMC_HPC0_LA06_P           H19       IO_L15P_T2L_N4_AD11P_67     -         
H14      FMC_HPC0_LA07_N           J15       IO_L20N_T3L_N3_AD1N_67      -         
H13      FMC_HPC0_LA07_P           J16       IO_L20P_T3L_N2_AD1P_67      -         
G13      FMC_HPC0_LA08_N           E17       IO_L9N_T1L_N5_AD12N_67      -         
G12      FMC_HPC0_LA08_P           E18       IO_L9P_T1L_N4_AD12P_67      -         
D15      FMC_HPC0_LA09_N           G16       IO_L18N_T2U_N11_AD2N_67     -         
D14      FMC_HPC0_LA09_P           H16       IO_L18P_T2U_N10_AD2P_67     -         
C15      FMC_HPC0_LA10_N           K15       IO_L22N_T3U_N7_DBC_AD0N_67  -         
C14      FMC_HPC0_LA10_P           L15       IO_L22P_T3U_N6_DBC_AD0P_67  -         
H17      FMC_HPC0_LA11_N           A12       IO_L5N_T0U_N9_AD14N_67      -         
H16      FMC_HPC0_LA11_P           A13       IO_L5P_T0U_N8_AD14P_67      -         
G16      FMC_HPC0_LA12_N           F18       IO_L17N_T2U_N9_AD10N_67     -         
G15      FMC_HPC0_LA12_P           G18       IO_L17P_T2U_N8_AD10P_67     -         
D18      FMC_HPC0_LA13_N           F15       IO_L14N_T2L_N3_GC_67        -         
D17      FMC_HPC0_LA13_P           G15       IO_L14P_T2L_N2_GC_67        -         
C19      FMC_HPC0_LA14_N           C12       IO_L6N_T0U_N11_AD6N_67      -         
C18      FMC_HPC0_LA14_P           C13       IO_L6P_T0U_N10_AD6P_67      -         
H20      FMC_HPC0_LA15_N           C16       IO_L7N_T1L_N1_QBC_AD13N_67  -         
H19      FMC_HPC0_LA15_P           D16       IO_L7P_T1L_N0_QBC_AD13P_67  -         
G19      FMC_HPC0_LA16_N           C17       IO_L8N_T1L_N3_AD5N_67       -         
