Core: system_bd_sys_ddr3_cntrl_p0 - Instance: i_system_bd|sys_ddr3_cntrl
Path, Setup Margin, Hold Margin
"Address Command (Slow 1150mV 100C Model)",0.436,0.635
"Bus Turnaround Time (Slow 1150mV 100C Model)",5.495,--
"Core (Slow 1150mV 100C Model)",0.379,0.223
"Core Recovery/Removal (Slow 1150mV 100C Model)",2.083,0.531
"DQS vs CK (Slow 1150mV 100C Model)",0.571,0.601
"Postamble (Slow 1150mV 100C Model)",0.52,0.52
"Read Capture (Slow 1150mV 100C Model)",0.256,0.245
"Write (Slow 1150mV 100C Model)",0.358,0.358
"Address Command (Slow 1150mV -40C Model)",0.522,0.579
"Bus Turnaround Time (Slow 1150mV -40C Model)",5.599,--
"Core (Slow 1150mV -40C Model)",0.713,0.163
"Core Recovery/Removal (Slow 1150mV -40C Model)",2.462,0.454
"DQS vs CK (Slow 1150mV -40C Model)",0.594,0.645
"Postamble (Slow 1150mV -40C Model)",0.506,0.506
"Read Capture (Slow 1150mV -40C Model)",0.29,0.279
"Write (Slow 1150mV -40C Model)",0.382,0.382
"Address Command (Fast 1150mV 100C Model)",0.807,0.54
"Bus Turnaround Time (Fast 1150mV 100C Model)",5.73,--
"Core (Fast 1150mV 100C Model)",1.331,0.154
"Core Recovery/Removal (Fast 1150mV 100C Model)",2.959,0.328
"DQS vs CK (Fast 1150mV 100C Model)",0.641,0.71
"Postamble (Fast 1150mV 100C Model)",0.685,0.685
"Read Capture (Fast 1150mV 100C Model)",0.339,0.331
"Write (Fast 1150mV 100C Model)",0.388,0.388
"Address Command (Fast 1150mV -40C Model)",0.874,0.483
"Bus Turnaround Time (Fast 1150mV -40C Model)",5.742,--
"Core (Fast 1150mV -40C Model)",1.374,0.112
"Core Recovery/Removal (Fast 1150mV -40C Model)",3.313,0.275
"DQS vs CK (Fast 1150mV -40C Model)",0.643,0.723
"Postamble (Fast 1150mV -40C Model)",0.67,0.67
"Read Capture (Fast 1150mV -40C Model)",0.339,0.331
"Write (Fast 1150mV -40C Model)",0.385,0.385
